Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
31-DEC-2001,1033.9,1062.3,1033.9,1059.05,53151737,1410.98
28-DEC-2001,1019.9,1036.35,1010.45,1033.8,56360665,1451.51
27-DEC-2001,1033.85,1037.7,1017.35,1020,60268297,1182.63
26-DEC-2001,1048.9,1058.3,1030.5,1034.25,42610311,978.87
24-DEC-2001,1051,1055,1032.6,1048.5,41895503,966.19
21-DEC-2001,1061.8,1061.8,1043.65,1050.85,47173980,1202.65
20-DEC-2001,1060.45,1064.8,1047.5,1062,55791413,1495.95
19-DEC-2001,1082.5,1086.35,1057.1,1060.75,49991317,1307.76
18-DEC-2001,1089.9,1098,1071.35,1082.3,47044326,1225.74
14-DEC-2001,1098.65,1102.9,1082.75,1087.85,41868889,1075.62
13-DEC-2001,1107.75,1114.15,1069.95,1098.75,66162787,1861.9
12-DEC-2001,1110.65,1121.55,1104.75,1107.65,54115209,1545.38
11-DEC-2001,1112.15,1122.85,1107.7,1110.2,69174821,1838.51
10-DEC-2001,1112.15,1123.55,1112.15,1115.25,54626721,1362.28
07-DEC-2001,1110.9,1122.65,1109.65,1112.3,59278142,1571.3
06-DEC-2001,1105.1,1132.65,1105.1,1110.45,77041903,2338.02
05-DEC-2001,1077.95,1107.15,1077.95,1104.55,67346487,1751.36
04-DEC-2001,1066.05,1082.6,1065.65,1077.7,58418781,1378.54
03-DEC-2001,1067.2,1074.5,1063.25,1065.4,53290729,1290.44
29-NOV-2001,1070.3,1071,1063,1067.15,60878364,1742.1
28-NOV-2001,1076.15,1082.3,1067.65,1070.8,58924642,1528.21
27-NOV-2001,1087.6,1097.6,1071.05,1076.05,67611969,1854.07
26-NOV-2001,1059.25,1084.65,1059.25,1080.6,52432285,1381.43
23-NOV-2001,1063.05,1075.05,1057.3,1059,54530688,1328.22
22-NOV-2001,1056.45,1075.9,1056.45,1062.45,60059388,1557.62
21-NOV-2001,1050.4,1064.85,1046.3,1056.35,57521765,1395.65
20-NOV-2001,1067.3,1082.4,1046.15,1050.2,72218774,1787.56
19-NOV-2001,1034.2,1072,1032.85,1068.15,73038463,1564.33
15-NOV-2001,1016.05,1038.35,1015.15,1035.7,50501218,1338.06
14-NOV-2001,1005.45,1017.2,1004.7,1015.8,13831835,289.6
13-NOV-2001,1010.95,1013.25,999.85,1005.4,43465584,978.6
12-NOV-2001,1004.55,1014.25,1003.6,1010.9,46429666,923.83
09-NOV-2001,999.1,1008.95,999.1,1004.05,62739687,1321.68
08-NOV-2001,987.5,1001.15,985.75,997.7,51431168,1188.47
07-NOV-2001,1001.95,1014.1,984.45,987.5,44843739,1037.49
06-NOV-2001,991.2,1007.4,991.15,1001.9,50531340,1126.27
05-NOV-2001,997.25,1001.3,987.85,991.05,44011648,1149.16
02-NOV-2001,994.25,1009.55,991.95,997.6,57608835,1538.24
01-NOV-2001,973.55,997.3,973.55,994,53177458,1380.27
31-OCT-2001,962.85,976.4,959.35,971.9,48402824,1251
30-OCT-2001,977.35,977.35,960.5,963.1,46820016,1060.01
29-OCT-2001,983.15,996.6,974.05,977.45,37908923,879.53
25-OCT-2001,991.25,998,979.95,983.2,60241032,1311.97
