Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
31-DEC-2002,1091.85,1100.1,1091.7,1093.5,46467775,1580.75
30-DEC-2002,1095.8,1095.8,1084.35,1091.95,47674403,1556.32
27-DEC-2002,1095.65,1103.95,1095.6,1098.4,61404780,1956.21
26-DEC-2002,1085.05,1100.4,1085.05,1094.8,70340712,2216.49
24-DEC-2002,1075.95,1087,1072.65,1085,46070600,1577.3
23-DEC-2002,1079.3,1082.6,1073.35,1076,39095304,1287.35
20-DEC-2002,1075.45,1084.95,1075.4,1079.3,48150321,1658.56
19-DEC-2002,1077.85,1079.9,1070.5,1076,60426570,2010.98
18-DEC-2002,1073.2,1083.65,1072.85,1077.95,58440571,1908.32
17-DEC-2002,1078.7,1084.95,1069,1073.25,54160964,1745.63
16-DEC-2002,1089,1100,1075.55,1078.45,66320701,2186.64
13-DEC-2002,1074.45,1087.35,1074.45,1086.2,59302311,2135.39
12-DEC-2002,1069.95,1078.85,1066.8,1077,64366654,2332.59
11-DEC-2002,1064.1,1076.95,1062.3,1069.75,75858834,2861.61
10-DEC-2002,1058.35,1066.1,1045.65,1063.7,74261316,2284.83
09-DEC-2002,1070.5,1085.75,1054.95,1058.65,98466325,3128.86
06-DEC-2002,1047.55,1072.25,1047.55,1069.8,86984722,2327.46
05-DEC-2002,1036.75,1052.45,1036.75,1045.95,66830738,2128.22
04-DEC-2002,1055.75,1055.75,1034.1,1036.4,63804437,2311.45
03-DEC-2002,1067.7,1075.75,1051.8,1055,76920329,2438.8
02-DEC-2002,1050.15,1070.15,1050.15,1067.9,74959263,2228.38
29-NOV-2002,1049.55,1057.45,1040.95,1050.15,62330269,1799.4
28-NOV-2002,1031.25,1051.75,1031.25,1049.7,75687832,2460.37
27-NOV-2002,1036.35,1042.2,1027.7,1031.1,68616818,2560.95
26-NOV-2002,1026.4,1040.45,1026,1036.15,78128618,2518.63
25-NOV-2002,1020.9,1030.35,1017.5,1026.2,65195626,2094.59
22-NOV-2002,1009.5,1026,1009.5,1020.15,82797325,2956.91
21-NOV-2002,1001.8,1012.75,1001.8,1008.75,70834273,2373.86
20-NOV-2002,996.85,1007.2,992.3,1001.6,79534922,2773.01
18-NOV-2002,990.35,1000.3,989.05,996.85,65778859,2021.86
15-NOV-2002,972.3,992.05,972.3,990.35,71314009,2276.78
14-NOV-2002,964.15,974.1,963.5,971.9,62899686,2077.13
13-NOV-2002,960.35,965.75,956.9,962.65,50761991,1572.84
12-NOV-2002,953.9,960.85,948.05,959.85,44778171,1368.55
11-NOV-2002,957.55,958.55,952.1,954.05,43589114,1168.17
08-NOV-2002,960.5,960.95,954.35,956.95,47446182,1349.49
07-NOV-2002,962.35,970.2,957.95,960.7,61354415,2033.24
05-NOV-2002,962.85,963.7,957.2,962.3,46548237,1509.69
04-NOV-2002,951.6,965.5,951.6,962.1,20401035,556.31
01-NOV-2002,951.45,956.95,946.4,951.45,81886663,2104.43
31-OCT-2002,937.35,953.3,937.05,951.4,101284389,2552.4
30-OCT-2002,936.15,944.35,935.9,937.75,59331163,1454.94
29-OCT-2002,922.55,939.7,921.65,936.9,63152064,1758.03
28-OCT-2002,932.35,934.9,920.1,922.7,41855140,1110.36
25-OCT-2002,946.8,946.8,929.25,932.2,50212164,1487.21
24-OCT-2002,957.7,959.8,945,946.9,38784328,1212.82
23-OCT-2002,962.9,963.75,955.45,957.35,50462667,1436.7
22-OCT-2002,967.5,976.35,961.65,962.5,35375332,1131.33
21-OCT-2002,971.75,976.2,965.65,967.35,32914353,1109.05
18-OCT-2002,973.8,982.5,968.8,971.65,52619622,1678.75
17-OCT-2002,973.7,976.05,966.55,973.3,56768806,1695.9
16-OCT-2002,972.9,983.6,971.7,973.6,49810083,1547.95
14-OCT-2002,971.5,976.5,969,972.45,40659614,1371.41
11-OCT-2002,958.45,973.5,958.45,971.05,50971734,1536.74
10-OCT-2002,954.8,960.45,945,958.45,47794544,1695.98
09-OCT-2002,960.85,968.75,952.95,954.75,46565044,1223.39
08-OCT-2002,954.8,963.15,952.5,960.8,54859797,1335.5
07-OCT-2002,947.8,956.35,946.25,954.75,40189307,960.94
04-OCT-2002,948.1,951.8,944.5,948.2,44508105,1109.34
03-OCT-2002,955.35,957.9,945.8,948.2,41043857,1163.05
01-OCT-2002,961.15,964.2,950.3,955.2,43093930,1205.37
30-SEP-2002,976.15,976.15,961.55,963.15,38959112,1028.47
27-SEP-2002,969.95,978,969.25,976.45,48529490,1282.19
26-SEP-2002,970.1,976.25,968.25,969.9,29510252,857.92
25-SEP-2002,964.65,971.85,960.5,970.05,44112468,1183.02
24-SEP-2002,969.95,969.95,960.2,966.2,40927813,1079.52
23-SEP-2002,969.85,974.75,967.35,970.3,39800308,1081.1
20-SEP-2002,975.6,975.6,960.7,969.6,46970014,1149.06
19-SEP-2002,983.45,985.25,970.8,976.05,40460954,1186.45
18-SEP-2002,994.15,994.15,981.6,983.6,35931214,1097.64
17-SEP-2002,985.75,996.8,985.75,994.9,35811735,1034.67
16-SEP-2002,991.75,997,983.55,985.75,30548896,889.45
13-SEP-2002,1001.4,1001.4,989.85,992,31250206,871.92
12-SEP-2002,998.95,1005.15,998.8,1001.65,43058940,1106.25
11-SEP-2002,998.6,1002.35,993.35,998.85,44180814,1410.78
09-SEP-2002,992.05,1005.85,985.25,998.55,51864825,1597.74
06-SEP-2002,1008.45,1008.45,992.7,995.2,45009048,1328.48
05-SEP-2002,1006.9,1013.45,1004.2,1008.6,57436407,1667
04-SEP-2002,1000.7,1008.8,990.85,1006.95,53158549,1352.68
03-SEP-2002,1013.65,1014.8,999.4,1001.1,44809812,1118.01
02-SEP-2002,1010.9,1024.65,1010.85,1013.5,56393644,1336.13
30-AUG-2002,987.65,1012.75,986.7,1010.6,70534773,1721.88
29-AUG-2002,985.85,989.4,981.45,987.25,75078066,1891.68
28-AUG-2002,987.35,988.1,981.1,985.7,44209404,1160.35
27-AUG-2002,998.85,1003.3,985.7,987.7,54473165,1644.85
26-AUG-2002,992.4,1001.45,986.15,998.85,45092815,1204.89
23-AUG-2002,985.75,996.4,984.7,995.2,39913412,1375.13
22-AUG-2002,988.55,995.3,983.45,985.7,40653997,1136.47
21-AUG-2002,988.6,994.25,984.35,988.45,55111392,1370.13
20-AUG-2002,979.75,990.85,979.05,988.55,41504172,1034.75
19-AUG-2002,979.4,983.55,978.2,979.85,29704038,751.33
16-AUG-2002,970.75,981.2,968.35,979.25,33890407,876.07
14-AUG-2002,976.05,976.25,967.25,969.65,40794287,940.47
13-AUG-2002,970.4,977.2,969.9,976.05,26756958,632.35
12-AUG-2002,961.15,971.55,961.15,969.85,38876795,958.44
09-AUG-2002,953.8,963.85,948,961.95,53339216,1270.86
08-AUG-2002,969.15,971.75,951.2,953.55,42631668,1020.17
07-AUG-2002,967.7,978.6,966.55,969.1,44116134,1120.77
06-AUG-2002,963.3,969.55,955.4,966.65,40644012,960.16
05-AUG-2002,954.9,966.5,953.9,963.25,42315175,996.1
02-AUG-2002,957.55,957.55,935.55,954.75,42399615,1008.81
01-AUG-2002,959.2,972.05,954.15,957.7,43346922,983.78
31-JUL-2002,960.3,964.1,943.6,958.9,58530809,1340.32
30-JUL-2002,973,987.5,956.8,960.65,54986098,1337.34
29-JUL-2002,973,977.95,953.15,971.65,55206523,1304.44
26-JUL-2002,1001.05,1001.05,972.55,973.5,59582074,1477.41
25-JUL-2002,1004.2,1021.3,997.85,1001.55,77644954,1953.04
24-JUL-2002,1021.8,1022.2,1001.9,1004.05,43163651,1267.89
23-JUL-2002,1012.05,1023.65,1005.75,1021.9,48047033,1388.14
22-JUL-2002,1035.2,1035.2,1009,1012,38097742,1152.95
19-JUL-2002,1041.35,1041.5,1032.25,1035.9,38248003,1027.11
18-JUL-2002,1032.55,1044,1032.55,1041.3,32852208,1005.88
17-JUL-2002,1035.95,1037.5,1025,1032.55,36540126,983.95
16-JUL-2002,1047.9,1051.85,1033.95,1035.95,41557411,1137.86
15-JUL-2002,1057.95,1058.45,1043.3,1048,30059725,812.75
12-JUL-2002,1057.1,1064.9,1054.9,1058.25,31397210,926.29
11-JUL-2002,1070.95,1070.95,1055.3,1056.6,36454257,1056.44
10-JUL-2002,1081.55,1087.4,1069.45,1071.7,40196542,1334.66
09-JUL-2002,1081.9,1083.65,1077.55,1080.3,39642048,1060.63
08-JUL-2002,1074,1085.3,1072.9,1082.05,41663659,1144.66
05-JUL-2002,1071,1076.2,1067.45,1073.8,31658677,969.3
04-JUL-2002,1069.95,1078.55,1068.4,1070.55,39803828,1224.05
03-JUL-2002,1067.8,1074,1065.55,1069.9,39630859,1200.01
02-JUL-2002,1067.9,1071.7,1064.95,1068.05,42057870,1056.49
01-JUL-2002,1058,1070.15,1058,1068.95,31615730,832.49
28-JUN-2002,1049.4,1068.9,1049.4,1057.8,42669654,1093.41
27-JUN-2002,1044.5,1053.7,1044,1048.55,50093269,1332.19
26-JUN-2002,1055.35,1061.05,1042.2,1044.2,38081458,1045.71
25-JUN-2002,1061.9,1063.3,1048.55,1055.4,48986465,1232.46
24-JUN-2002,1065.6,1065.6,1054.45,1061.85,28998464,794.71
21-JUN-2002,1069.5,1069.8,1058.95,1062.55,36400989,971.51
20-JUN-2002,1063.1,1074,1056.25,1070.05,44432596,1178.65
19-JUN-2002,1074.7,1079.2,1056.45,1062.9,46367417,1301.88
18-JUN-2002,1088.9,1097.4,1073.75,1074.95,38285735,998.81
17-JUN-2002,1085.8,1097.55,1085.7,1088.9,35014054,808.88
14-JUN-2002,1081.75,1087.6,1079.45,1085.7,45124098,1083.03
13-JUN-2002,1093,1102.05,1080.8,1082.85,36920383,1022.39
12-JUN-2002,1097.15,1100.45,1088.5,1092.8,45733083,1102.81
11-JUN-2002,1070.95,1099.5,1070.55,1097.05,57802224,1366.89
10-JUN-2002,1049.95,1072.5,1049.95,1069.9,36192600,920.75
07-JUN-2002,1063.75,1063.75,1044.35,1048.8,34431823,1040.09
06-JUN-2002,1064.15,1072,1055.5,1064.35,49917727,1214.73
05-JUN-2002,1045.55,1067.5,1045,1064.2,48382002,1242.79
04-JUN-2002,1040.15,1047.4,1036.55,1045.4,31085674,826.65
03-JUN-2002,1029.25,1047.25,1029.25,1039.75,35078791,965.33
31-MAY-2002,1032.5,1037.7,1020.1,1028.8,48912840,1410.37
30-MAY-2002,1041.4,1049.95,1030.1,1032.15,56754281,1375.88
29-MAY-2002,1038.2,1047.95,1026.5,1041.65,59425589,1609.57
28-MAY-2002,1061.9,1062.3,1034.1,1038.2,47296910,1255.7
27-MAY-2002,1067,1071.5,1054.1,1062.7,45839909,1221.77
24-MAY-2002,1026.9,1069.2,1026.9,1067,51001192,1313.52
23-MAY-2002,1045.2,1045.35,1024.3,1026.75,40362927,1053.86
22-MAY-2002,1049.5,1050.9,1035.5,1045.3,50691915,1316.28
21-MAY-2002,1074.75,1074.85,1028.25,1049.2,69838950,1594.03
20-MAY-2002,1091.7,1097.95,1071.35,1074.35,43649853,1039
17-MAY-2002,1092.8,1099.75,1079.95,1090.65,55619999,1313.48
16-MAY-2002,1108.25,1111.25,1089.85,1092.8,48839381,1212.07
15-MAY-2002,1115.15,1121.5,1102.65,1107.8,43830185,1228.27
14-MAY-2002,1119.95,1125.95,1111.45,1115.1,45786733,1113.3
13-MAY-2002,1116.8,1121.95,1114.2,1119.65,35779577,908.75
10-MAY-2002,1127.05,1127.3,1111.15,1116.4,39471255,949.49
09-MAY-2002,1117.7,1136.55,1117.7,1127.6,41844601,1091.86
08-MAY-2002,1110.7,1122.7,1110.7,1117.6,38154848,1035.47
07-MAY-2002,1100.9,1111.85,1096.65,1110.7,34359853,951.77
06-MAY-2002,1096.95,1102.05,1096.25,1100.95,33065194,939.03
03-MAY-2002,1093.4,1098.6,1091.5,1096.95,34201217,874.44
02-MAY-2002,1084.8,1101.1,1084.8,1093.3,44413724,1325.68
30-APR-2002,1074.25,1085.75,1073.4,1084.5,35796410,972.43
29-APR-2002,1097.55,1098.65,1073.3,1074.2,41590165,1102.62
26-APR-2002,1094.25,1103.35,1094.1,1097.4,30866979,946.98
25-APR-2002,1110.65,1113.85,1089,1094.3,44989860,1186.51
24-APR-2002,1106.25,1116.85,1105.7,1110.6,40697311,1144.37
23-APR-2002,1104,1108.8,1095,1106,39715536,1259.14
22-APR-2002,1100.5,1107.2,1088.05,1104.15,38335333,1184.78
19-APR-2002,1125.55,1127.05,1097.6,1100.3,42127555,1325.67
18-APR-2002,1125.25,1135,1123.8,1129,34219373,1148.19
17-APR-2002,1119,1136.6,1118.95,1125.1,34383746,1259.69
16-APR-2002,1130.8,1133.5,1116.65,1118.75,32533210,1046.74
15-APR-2002,1146.55,1152.55,1130.45,1134.15,32838768,1119.35
12-APR-2002,1143.25,1151.55,1138.65,1146.5,38866977,1226.92
11-APR-2002,1138.55,1150.2,1138.55,1143.6,48509919,1680.95
10-APR-2002,1126.7,1140.25,1125.75,1138.5,48371804,1747.31
09-APR-2002,1135.15,1137.45,1122.1,1126.7,37258542,1088.52
08-APR-2002,1141.9,1147.9,1134,1135.25,31263947,916.74
05-APR-2002,1146.05,1153.3,1139.9,1141.95,40192567,1133.81
04-APR-2002,1124.05,1149.65,1123.9,1145.9,49472486,1388.14
03-APR-2002,1136.6,1136.9,1121.45,1123.5,39862825,1031.04
02-APR-2002,1138.8,1147.3,1132.3,1136.95,50733525,1401.11
01-APR-2002,1129.85,1143.3,1129.85,1138.95,41464447,1116.79
28-MAR-2002,1123.6,1138.45,1123.6,1129.55,55362083,1423.51
27-MAR-2002,1130,1134.1,1121.35,1123.35,41551364,1115.18
26-MAR-2002,1138.1,1140.2,1117.85,1123.05,32691866,964.1
22-MAR-2002,1144.5,1148.65,1135.9,1138.45,36787369,1091.75
21-MAR-2002,1155.55,1155.55,1141.05,1144.2,32471168,964.3
20-MAR-2002,1152.05,1158.95,1148.5,1155.6,41282550,1233.28
19-MAR-2002,1169.4,1170.8,1150.3,1152.15,40006138,1157.44
18-MAR-2002,1169.95,1184.7,1163.75,1169.3,44598134,1257.97
15-MAR-2002,1159.6,1173.75,1159.6,1169.75,61764394,1706.23
14-MAR-2002,1156.85,1163.65,1153.15,1159.45,31818825,1039.49
13-MAR-2002,1150.2,1165.4,1143.55,1157.05,41957225,1363.71
12-MAR-2002,1167.85,1171.2,1144.3,1150.45,50380999,1656.58
11-MAR-2002,1187.5,1192.75,1164.55,1167.85,50588345,1743.51
08-MAR-2002,1193.6,1199.6,1182.55,1187.65,50281539,1845.85
07-MAR-2002,1173.6,1195.2,1173.6,1193.05,50206347,1752.93
06-MAR-2002,1176.55,1182.65,1162.75,1172.6,61487666,1648.34
05-MAR-2002,1176.4,1193.1,1175.15,1178.5,63428456,1837.13
04-MAR-2002,1178.45,1201.1,1172.3,1177.35,74298964,1806.94
01-MAR-2002,1142.05,1181.25,1135.45,1178,68816352,1732.19
28-FEB-2002,1189.6,1197,1135.2,1142.05,104258064,2671.53
27-FEB-2002,1190.15,1205.95,1180,1189.2,76052450,2018.96
26-FEB-2002,1165.75,1192.65,1165.75,1189.4,66999666,1742.18
25-FEB-2002,1163.65,1167.6,1155.45,1165.45,51745981,1276
22-FEB-2002,1149.85,1165.7,1145.5,1163.5,53387825,1317.89
21-FEB-2002,1146.05,1158.05,1146.05,1149.85,34460898,934.29
20-FEB-2002,1158.45,1158.45,1134.65,1145.95,49629349,1229.68
19-FEB-2002,1172.85,1178.1,1155.1,1158.9,59280466,1555.36
18-FEB-2002,1159.85,1177.05,1156.7,1172.85,59695028,1480.5
15-FEB-2002,1150.65,1164.1,1150.3,1159.95,67681171,1569.86
14-FEB-2002,1135.5,1151.65,1133.85,1150,60597908,1387.05
13-FEB-2002,1129.8,1142.3,1129.6,1135.1,55749416,1591.08
12-FEB-2002,1131.95,1143.3,1125.55,1129.5,59329834,1569.26
11-FEB-2002,1124.85,1144.15,1124.85,1131.55,61164119,1679.05
08-FEB-2002,1112.8,1131.85,1104.45,1123.75,73014449,2153.26
07-FEB-2002,1114.85,1130.95,1104.3,1110.45,93831069,2651.59
06-FEB-2002,1074.4,1117.1,1074,1113.1,73870009,1911.33
05-FEB-2002,1076.25,1081.2,1069.4,1074.25,68534066,1595.08
04-FEB-2002,1083.05,1086.95,1074.15,1076.9,57892596,1400.92
01-FEB-2002,1076.95,1088.05,1076.95,1081.65,58399504,1616.41
31-JAN-2002,1067.65,1082,1067.65,1075.4,66028228,1997.32
30-JAN-2002,1072.85,1072.85,1058.8,1067.45,50687169,1458.15
29-JAN-2002,1071.35,1076.45,1068.85,1071.65,58946386,1775.15
28-JAN-2002,1083.25,1088.75,1068.7,1071.35,49771696,1473.84
25-JAN-2002,1085.85,1089.7,1077,1080.1,59839751,1857.72
24-JAN-2002,1089.6,1098.6,1081.7,1085.3,47718204,1359.92
23-JAN-2002,1092.85,1096.95,1087.5,1089.4,53732790,1536.95
22-JAN-2002,1091.35,1099,1090,1092.85,55745783,1721.96
21-JAN-2002,1093.25,1099.8,1082.65,1091.35,64348299,2078.74
18-JAN-2002,1109.55,1121.75,1089.05,1093.15,84626074,2710.84
17-JAN-2002,1090.25,1116.05,1078.95,1109.2,83524489,2598.76
16-JAN-2002,1094.15,1104.8,1085.3,1090.3,59753435,1845.23
15-JAN-2002,1109.45,1112.6,1090.2,1094.15,55221142,1570.92
14-JAN-2002,1089.45,1118.5,1089.45,1109.8,60424974,1789.75
11-JAN-2002,1098.15,1105.9,1073.45,1088.55,71147237,2173.36
10-JAN-2002,1098.8,1105.35,1093.6,1098.2,68965273,2360.41
09-JAN-2002,1110,1119.4,1098.7,1102.8,74868151,2201.97
08-JAN-2002,1100.55,1114.55,1097.9,1109.9,67831569,2138.41
07-JAN-2002,1093.05,1111.55,1093.05,1100.15,61389127,1703.56
04-JAN-2002,1072.4,1099.25,1072.4,1096.2,74407831,1934.64
03-JAN-2002,1063.45,1074.85,1062.9,1072.25,61870889,1744.94
02-JAN-2002,1054.95,1065.25,1054.1,1060.75,49608297,1396.19
01-JAN-2002,1058.85,1071.15,1052.05,1055.3,43951938,1316.25
