Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
30-DEC-2005,2823.95,2845.55,2812.75,2836.55,76048886,4017.93
29-DEC-2005,2792.75,2829.4,2792.75,2821.95,79236604,3891.34
28-DEC-2005,2806.8,2824.3,2780,2794.05,73928672,3690.54
27-DEC-2005,2746.25,2812.6,2725.7,2805.9,58763373,2824.9
26-DEC-2005,2804.3,2804.3,2741.8,2749.6,57486163,2509.99
23-DEC-2005,2835.7,2857,2799.7,2804.85,65175171,2972.67
22-DEC-2005,2826.7,2846.65,2818.65,2835.25,66786005,2946.81
21-DEC-2005,2826.45,2847.3,2799.45,2822.9,123430901,7389.62
20-DEC-2005,2843.15,2853.1,2815.2,2826.2,74975479,3150.23
19-DEC-2005,2808.35,2846,2803.45,2842.6,77018983,3272.85
16-DEC-2005,2778.65,2814.9,2766.5,2810.15,88271522,4180.3
15-DEC-2005,2805.2,2821.5,2763.35,2778.55,92701214,3996.15
14-DEC-2005,2812.8,2825.65,2788.3,2804.55,122645697,4636.36
13-DEC-2005,2776.8,2815.3,2764.65,2812.3,93127558,4485.5
12-DEC-2005,2756.4,2789.35,2756.4,2776.2,75289837,3334.62
09-DEC-2005,2706.75,2761.1,2698,2756.45,76475444,3624.71
08-DEC-2005,2694.95,2711.6,2673.5,2706.7,70166907,3288.04
07-DEC-2005,2662.3,2697.1,2662.3,2693,66551374,3002.33
06-DEC-2005,2661.4,2694.4,2647.35,2662.3,56613837,2735.99
05-DEC-2005,2697.6,2710.65,2654.35,2660.5,62679907,2405.29
02-DEC-2005,2699.55,2730.7,2691.5,2697.95,79794777,3914.45
01-DEC-2005,2651.6,2705,2641.95,2698.95,74048315,3626.04
30-NOV-2005,2698.1,2727.05,2647.1,2652.25,82029860,3588.31
29-NOV-2005,2712.35,2713.9,2679.9,2698.3,78581982,3583.48
28-NOV-2005,2683.6,2717.15,2682.65,2712,83653385,3266.97
26-NOV-2005,2664.85,2686.5,2664.7,2683.45,25534972,1016.73
25-NOV-2005,2635.35,2668.9,2633.75,2664.3,74964394,2877.95
24-NOV-2005,2608.9,2643.7,2608.7,2635,98400541,3651.41
23-NOV-2005,2572.85,2613.4,2563.1,2608.6,70840659,2992.72
22-NOV-2005,2603.25,2614,2567.05,2572.85,67631761,3090.06
21-NOV-2005,2620.1,2626.4,2591.75,2602.5,74794904,3111.44
18-NOV-2005,2604,2632.35,2595.15,2620.05,81690974,3121.62
17-NOV-2005,2558.45,2608.85,2558.45,2603.95,66443810,2924.97
16-NOV-2005,2559.45,2585.95,2559.45,2582.75,59709061,2711.52
14-NOV-2005,2548.55,2576.95,2534.4,2558.7,70311886,2722.9
11-NOV-2005,2500.85,2551.4,2500.85,2548.65,72465029,3003.72
10-NOV-2005,2489.1,2504.75,2480.85,2500.7,64917294,2435.45
09-NOV-2005,2493.1,2519.4,2475.7,2489.1,73896105,2927.57
08-NOV-2005,2463.65,2502.9,2460,2492.65,79715915,3234.37
07-NOV-2005,2419.25,2464.65,2411.6,2461.6,79272406,3265.1
02-NOV-2005,2386.45,2423.8,2367.75,2419.05,82540716,2909.26
01-NOV-2005,2366.8,2410.15,2366.8,2386.75,18746555,665.75
31-OCT-2005,2314.85,2373.4,2314.2,2370.95,69796263,2419.6
28-OCT-2005,2352.65,2355.15,2307.45,2316.05,84569727,3192.26
27-OCT-2005,2408.95,2416.45,2338.6,2352.9,125291990,4868.7
26-OCT-2005,2418.45,2434,2401.1,2408.5,91104303,3800.91
25-OCT-2005,2394.95,2444.6,2390.85,2418.2,85086738,3470.96
24-OCT-2005,2444.2,2460,2388.4,2394.85,80236463,2943.37
21-OCT-2005,2397.85,2447.85,2384.05,2443.75,97458038,3775.57
20-OCT-2005,2421.4,2463.85,2363.55,2395.45,114276924,4202.57
