date,Close,High,Low,Open,Volume
2009-09-01,1586.8558349609375,1605.1776410848531,1560.4439914886038,1565.6787638669173,4607
2009-09-02,1595.65966796875,1605.891332988482,1571.3892497916315,1584.7141610732317,4368
2009-09-03,1613.5054931640625,1623.975139637859,1601.846247308904,1608.7466844393828,3903
2009-09-04,1611.3643798828125,1621.3580651639688,1593.2805537359827,1618.0268367369167,2951
2009-09-07,1643.4866943359375,1651.3388523221347,1605.6533825846036,1616.123029366011,2932
2009-09-08,1668.470947265625,1675.13350621563,1648.9595419685163,1658.4772630403436,6060
2009-09-09,1670.3746337890625,1677.9888108266218,1647.055933912033,1647.055933912033,3084
2009-09-10,1675.1336669921875,1687.0308965737108,1651.1011234297457,1679.4166161856258,5020
2009-09-11,1615.6470947265625,1679.4163887929194,1594.2320432594845,1672.9919144727212,6351
2009-09-14,1651.5770263671875,1657.7635197319614,1594.232200948911,1598.9911131678457,3272
2009-09-15,1632.5413818359375,1658.2394873266069,1615.6472588337351,1658.2394873266069,3842
2009-09-16,1650.3873291015625,1659.90515416163,1624.2133615862915,1632.5414842138082,3220
2009-09-17,1658.4774169921875,1660.8569245808903,1638.9659070840626,1660.8569245808903,2459
2009-09-18,1613.267578125,1658.4770823911515,1613.267578125,1642.7727672333622,4813
2009-09-21,1628.9720458984375,1630.875692883615,1600.1806959452713,1610.8882219377726,2610
2009-09-22,1631.3515625,1635.6345112414483,1617.312808403387,1627.544474107642,2883
2009-09-23,1634.4449462890625,1653.7184742444151,1624.6892429140748,1636.3480794458712,3530
2009-09-24,1613.267578125,1631.827260693226,1591.6145465955326,1624.9268237179394,8728
2009-09-25,1601.1324462890625,1622.5474972957045,1598.277078741561,1613.2676555661344,3613
2009-09-28,1633.255126953125,1638.7278808349022,1573.5309002082045,1602.084269104663,8456
2009-09-29,1625.87890625,1660.856854203131,1615.8852215205086,1653.7184345393357,5032
2009-09-30,1641.8211669921875,1684.1754124046497,1614.9333600887694,1638.4899388271542,7660
2009-10-01,1609.22265625,1689.172231481126,1591.1388323238966,1641.8210945115893,6301
2009-10-02,1574.482666015625,1593.7561918843849,1534.7458092345023,1587.093735959386,5584
2009-10-05,1647.5318603515625,1656.3358423048328,1572.5786631608782,1574.2447397998717,7872
2009-10-06,1707.7314453125,1717.9636251991278,1647.5318718799456,1660.8567842917073,10871
2009-10-07,1738.427001953125,1766.2664269910758,1704.4007753071987,1713.2047575498625,11816
2009-10-08,1784.588134765625,1791.7265539189675,1744.1374355627331,1748.420487054739,11988
2009-10-09,1769.1217041015625,1784.5881419294717,1741.7580380367435,1784.5881419294717,4947
2009-10-12,1815.2833251953125,1830.0359226197336,1778.4018316342592,1798.6266693943885,8516
2009-10-13,1716.059814453125,1802.671942466224,1698.9278152152383,1802.195979354199,8689
2009-10-14,1740.5684814453125,1760.793936815017,1715.1084587277314,1751.7520749601497,9740
2009-10-15,1662.998291015625,1736.9992531672065,1647.055889820396,1730.5746758139544,12225
