Date,Open,High,Low,Close,Volume
2009-09-01,88.27048081385475,89.00267841768498,85.03660751185376,85.4637222290039,3104889
2009-09-02,85.42305040629236,88.51455241316948,84.62984012659338,87.27388763427734,1229235
2009-09-03,87.05016069107452,88.0264220839636,85.07729816071381,86.25695037841797,2341703
2009-09-04,87.05014506501026,87.23319611238392,85.21965445430182,86.2365951538086,822533
2009-09-07,87.05015298618932,89.89759117651823,86.64337799357376,88.33149719238281,3350129
2009-09-08,89.08403645842654,90.01962492018127,87.27388538556741,88.7789535522461,2476568
2009-09-09,88.77894579349186,89.40945129396368,85.82982232650039,86.88743591308594,1883852
2009-09-10,87.74166738713808,88.25014107194144,83.71458387657668,85.4637222290039,4088390
2009-09-11,85.46370556890714,87.0094528218867,84.3247332118687,85.15862274169922,2626638
2009-09-14,84.8128665400969,85.76879456638754,84.30439953884314,84.7518539428711,1045903
2009-09-15,85.74844442613593,88.20944003927924,85.01624700117546,85.9111557006836,3847969
2009-09-16,87.45692432742521,88.18912193196752,85.42304282825322,87.35523223876953,2987335
2009-09-17,87.9043902374788,88.27049239794383,85.26034261993571,86.25695037841797,2502329
2009-09-18,85.93150702575575,85.93150702575575,84.60948353515909,85.0365982055664,1571857
2009-09-22,84.7722171146195,89.65353080836461,84.67051838945052,88.90099334716797,5418711
2009-09-23,89.28741589187695,92.88738445665696,87.5179379099146,91.4636688232422,5806065
2009-09-24,89.63319593489358,93.47722890396317,88.77895976520082,92.27723693847656,5098953
2009-09-25,91.93147352952532,96.56872305035088,91.68740323510656,95.87720489501952,3187805
2009-09-29,96.16196068557493,96.99585053009764,93.53825267826215,95.16535949707033,2938488
2009-09-30,95.22634907443964,99.45682313144091,94.77889464199656,97.11785888671876,7601536
2009-10-01,96.85347138037712,97.95177121137124,94.98230100199088,97.17889404296876,2488944
2009-10-05,96.36531323205318,102.01950905904704,95.2263408194819,100.4940948486328,5116018
2009-10-06,100.88055320300548,100.88055320300548,95.4297472498161,97.01617431640624,3590662
2009-10-07,97.82971846186562,100.63647693010212,97.6263342932022,99.33479309082033,2077728
2009-10-08,100.08734413122518,101.16530420860624,97.72803977990765,98.9076919555664,2147271
2009-10-09,98.8466744733918,102.46699003987128,97.85007335380328,99.25345611572266,3145104
2009-10-12,99.86361156776562,103.19918383131596,98.54159445362768,102.24325561523438,1904124
2009-10-13,102.50763702392578,102.50763702392578,102.50763702392578,102.50763702392578,0
2009-10-14,102.87374390522773,106.1686295076437,102.22289870815294,103.66695404052734,2899997
2009-10-15,102.50765823501769,106.51440889597303,102.50765823501769,103.78900909423828,1609361
2009-10-16,102.12121258676972,105.19237446999443,101.9585012780084,103.1584930419922,2831215
2009-10-20,103.44324230615528,104.48052282283732,98.39921791973048,98.9687042236328,2157072
2009-10-21,99.25344069854565,100.168682699098,95.2060109952212,97.54497528076172,2779112
2009-10-22,97.01616657928346,99.21275925499964,95.30770781628512,97.09751892089844,913914
2009-10-23,98.03311143215927,99.05005216112528,91.158589985626,92.37892150878906,4613666
2009-10-26,92.37893323454088,105.68052336556592,92.37893323454088,101.10428619384766,12472624
2009-10-27,97.62634456326153,101.08394200436524,93.66027340499014,96.26364135742188,4447026
2009-10-28,94.697545458014,99.45682644796676,92.96874689270224,95.89753723144533,4638866
2009-10-29,95.18569279666922,98.43989959289796,93.05011234491388,95.55178833007812,5578121
2009-10-30,96.8127869535748,100.06700017146257,93.55858035669716,94.18907928466795,2293232
2009-11-03,93.55857882174634,95.87720354962302,90.71114064755798,93.68061065673828,3203782
2009-11-04,94.3721239431396,97.56531771521904,92.76535718629005,96.36532592773438,3326350
2009-11-05,96.10090529177826,98.72461231194968,91.76873973410224,97.58563995361328,2545410
2009-11-06,98.43989815151652,101.85682285168733,98.03312313557034,98.94837188720705,4625335
2009-11-09,98.9483583652954,101.81612944997909,97.74836660438169,101.34833526611328,3390024
2009-11-10,102.1415497794671,103.11781098666692,99.25343901828604,100.77884674072266,2488294
2009-11-11,100.8398763633428,104.52120428700444,99.45683344123944,103.3822250366211,2140000
2009-11-12,102.995772035379,107.06353450837206,101.8974790809148,104.56185913085938,2605651
2009-11-13,104.94832921964608,107.6330497324396,103.32122246773544,105.8839111328125,2394903
2009-11-16,106.1686257363257,110.56181079749852,106.1686257363257,109.7889404296875,3788681
2009-11-17,109.82960135123716,111.80246315599128,108.24317468839152,110.62281799316406,2353881
2009-11-18,109.138112037944,112.04656940765724,107.9381202020709,108.50760650634766,2793709
2009-11-19,107.79574393391952,110.4397911578355,104.6432296551787,105.37542724609376,1664845
2009-11-20,104.54155073243663,108.38559046749752,102.71105971922393,106.73814392089844,1316296
2009-11-23,106.20932283611026,108.14151231822464,105.25340127690146,106.92118072509766,1111591
2009-11-24,107.77541053376984,109.74827950751614,105.43644605353008,106.86016845703124,1488792
2009-11-25,106.57542385598542,108.08049196807174,105.2737333056255,106.63643646240234,613060
2009-11-26,106.94150927899032,111.57875825408296,106.1686322428051,109.70758819580078,3402739
2009-11-27,107.79573602151902,107.79573602151902,103.7686528775862,105.45677185058594,1915419
2009-11-30,105.7618694655303,106.53474659065672,102.5686754925478,103.42290496826172,1138199
2009-12-01,104.1347548939182,109.01607432280902,103.32120496627452,107.06354522705078,4150402
2009-12-02,107.79574809745768,108.14151047522031,103.52459421531452,104.50086212158205,1297492
2009-12-03,106.16863539834742,106.90083297517752,104.17543345848024,105.0093231201172,578906
2009-12-04,104.33815918657702,106.5550919646164,104.13476836784471,104.66358184814452,1408413
2009-12-07,104.98899431644948,106.65678043447872,85.78915063138683,105.6805191040039,1686361
2009-12-08,105.76186803282351,108.8126903851923,105.76186803282351,106.79914855957033,2817527
2009-12-09,106.16863710274474,107.69405150438328,104.92797246095373,105.43643951416016,1087808
2009-12-10,105.33475582230308,107.14491350703884,104.70425026991016,105.59915924072266,2068115
2009-12-11,106.3516940657388,106.96185986030476,103.72798644591316,104.90763854980467,1591961
2009-12-14,105.39577263470692,107.3482952344226,104.05340920927117,106.90084075927734,935466
2009-12-15,106.69744875901834,107.633030505054,102.20257121519168,103.03646087646484,1992243
2009-12-16,102.50765830892767,102.50765830892767,96.3246610475927,100.18903350830078,2593177
2009-12-17,101.1246149867281,106.51440161279676,100.22970606919834,105.90423583984376,2632251
2009-12-18,105.76185665442874,105.76185665442874,101.3279918697452,102.1618881225586,1441080
2009-12-21,102.1008859241763,107.1652570226914,102.1008859241763,106.49407196044922,2124808
2009-12-22,107.1855681083831,110.19571715565858,106.59574214271498,108.62962341308594,4385986
2009-12-23,109.42284369847224,109.82961864152033,107.0432000190766,107.53133392333984,2950392
2009-12-24,109.0160703640243,109.0160703640243,107.40930368741763,107.85675811767578,1025565
