round,timestamp,timesteps,source,val_sharpe,val_mdd_pct,val_cagr_pct,val_constraints_met,backtest_sharpe,backtest_mdd_pct,backtest_return_pct,backtest_cagr_pct,backtest_trade_count,backtest_constraints_met,notes
1,2026-04-15 15:35:25,50000,trained,-0.185,-11.24,0.0,False,-0.185,-11.24,18.42,18.42,0,False,run_id=33d1ec6d
2,2026-04-18 18:19:56,100000,trained,0.077,-12.04,0.0,False,0.077,-12.04,30.11,30.11,0,False,run_id=926bf3fb
3,2026-07-12 07:04:14,50000,trained,-0.64,-10.08,-0.62,False,-0.183,-7.69,5.77,4.68,71,False,F34-P2.5 50k seed42 rita_ddqn_v2_banknifty_f34p25
