"Product","Instrument","Qty.","Avg.","LTP","P&L","Chg.",""
"NRML","BANKNIFTY26APR50500CE",-60,1953.88,5690.65,-224206.5,191.25,""
"NRML","BANKNIFTY26APR56000CE",60,1050,1030,-1200,-1.9,""
"NRML","BANKNIFTY26APR56000PE",30,1011.1,962.8,-1449,-4.78,""
"NRML","BANKNIFTY26APR58500CE",90,708.97,156.35,-49735.5,-77.95,""
"NRML","BANKNIFTY26APR65000CE",180,99.11,6.35,-16696.5,-93.59,""
"NRML","BANKNIFTY26JUN51000CE",-30,3115.5,5882.95,-83023.5,88.83,""
"NRML","BANKNIFTY26JUN56000CE",60,2150,2334.25,11055,8.57,""
"NRML","BANKNIFTY26JUNFUT",-60,52240,56644,-264240,8.43,""
"NRML","BANKNIFTY26MAY52000CE",-30,1534.05,4698.9,-94945.5,206.31,""
"NRML","BANKNIFTY26MAY54500CE",-30,1363.45,2710.95,-40425,98.83,""
"NRML","BANKNIFTY26MAY55000PE",-30,1102.38,1069.05,112.5,-3.02,""
"NRML","BANKNIFTY26MAY55500PE",90,1343.28,1224.75,-11095.5,-8.82,""
"NRML","BANKNIFTY26MAY55700CE",60,1823.45,1863.2,2385,2.18,""
"NRML","BANKNIFTY26MAY56500CE",120,1428.11,1416.2,-1429.5,-0.83,""
"NRML","BANKNIFTY26MAY60000CE",30,1950,270.1,-50397,-86.15,""
"NRML","BANKNIFTY26MAYFUT",30,55833.07,56330,31032,0.89,""
"NRML","NIFTY26APR22400CE",-130,764.13,1757.55,-129145.25,130.01,""
"NRML","NIFTY26APR23800PE",65,422.05,261.7,-10422.75,-37.99,""
"NRML","NIFTY26APR24000CE",195,408.4,438.1,5791.5,7.27,""
"NRML","NIFTY26APR26000CE",195,110.12,8.5,-19815.25,-92.28,""
"NRML","NIFTY26APR27000CE",260,41.06,3.25,-9831.25,-92.09,""
"NRML","NIFTY26JUN23700PE",130,620.05,482.5,-17881.5,-22.18,""
"NRML","NIFTY26JUN24500CE",-65,403,651,-16120,61.54,""
"NRML","NIFTY26JUN25000CE",260,409.84,411.4,406.25,0.38,""
"NRML","NIFTY26JUNFUT",-65,23250,24376,-73190,4.84,""
"NRML","NIFTY26MAY23700PE",130,531.83,395.6,-17709.25,-25.61,""
"NRML","NIFTY26MAY24000CE",-130,680.73,724.75,-5723.25,6.47,""
"NRML","NIFTY26MAY24000PE",-130,500.43,487.25,1712.75,-2.63,""
"NRML","NIFTY26MAY24500CE",325,414.5,437.7,7540,5.6,""
"NRML","NIFTY26MAYFUT",65,24045.9,24229,11901.5,0.76,""
"NRML","BANKNIFTY26APR54600PE",0,0,533.75,-12853.5,0,""
"NRML","BANKNIFTY26APR55500CE",0,0,1344.8,14488.5,0,""
"NRML","BANKNIFTY26MAY49500PE",0,0,262,-89139,0,""
"NRML","BANKNIFTY26MAY54500PE",0,0,917.4,-30579,0,""
"NRML","BANKNIFTY26MAY56000CE",0,0,1725.8,17415,0,""
"NRML","BANKNIFTY26MAY56000PE",0,0,1402,5967,0,""
