"Time","Type","Instrument","Product","Qty.","Avg. price","Status",""
"2026-03-19 15:18:16","BUY","NIFTY26APR23000PE","NRML","65/65",603.05,"COMPLETE",""
"2026-03-19 15:18:02","SELL","NIFTY26APR23100CE","NRML","65/65",723.7,"COMPLETE",""
"2026-03-19 15:17:59","BUY","NIFTY26APR23000CE","NRML","65/65",787.5,"COMPLETE",""
"2026-03-19 15:17:41","BUY","NIFTY26APR23800CE","NRML","65/65",376.35,"COMPLETE",""
"2026-03-19 15:17:09","SELL","BANKNIFTY26APR54000CE","NRML","0/30",0,"REJECTED",""
"2026-03-19 15:17:01","SELL","BANKNIFTY26APR54000CE","NRML","30/30",1696.05,"COMPLETE",""
"2026-03-19 15:13:48","SELL","BANKNIFTY26APR53000CE","NRML","30/30",2300.35,"COMPLETE",""
"2026-03-19 15:13:36","BUY","BANKNIFTY26APR54500CE","NRML","30/30",1421.95,"COMPLETE",""
"2026-03-19 15:13:12","BUY","BANKNIFTY26APR53500CE","NRML","30/30",2005.5,"COMPLETE",""
"2026-03-19 15:12:33","SELL","BANKNIFTY26APR51000PE","NRML","30/30",852.35,"COMPLETE",""
"2026-03-19 15:11:58","SELL","BANKNIFTY26APR53500PE","NRML","30/30",1568.4,"COMPLETE",""
"2026-03-19 15:11:27","BUY","NIFTY26APR22500PE","NRML","65/65",437.5,"COMPLETE",""
"2026-03-19 15:11:00","BUY","BANKNIFTY26APR54500PE","NRML","30/30",2047.45,"COMPLETE",""
"2026-03-19 12:26:32","BUY","BANKNIFTY26APR53500PE","NRML","30/30",1273.5,"COMPLETE",""
"2026-03-19 12:25:23","SELL","BANKNIFTY26APR55500PE","NRML","30/30",2085.4,"COMPLETE",""
"2026-03-19 12:25:14","BUY","BANKNIFTY26APR52000PE","NRML","30/30",861.95,"COMPLETE",""
"2026-03-19 11:52:20","BUY","NIFTY26APRFUT","NRML","65/65",23414,"COMPLETE",""
"2026-03-19 11:16:13","SELL","NIFTY26APR24000CE","NRML","65/65",330.8,"COMPLETE",""
"2026-03-19 11:12:53","SELL","NIFTY26APR22500PE","NRML","65/65",348,"COMPLETE",""
"2026-03-19 11:12:36","BUY","NIFTY26APR23200PE","NRML","65/65",542,"COMPLETE",""
"2026-03-19 09:35:06","SELL","NIFTY26MAYFUT","NRML","65/65",23595,"COMPLETE",""
"2026-03-19 09:32:26","SELL","BANKNIFTY26MAYFUT","NRML","30/30",54533,"COMPLETE",""
"2026-03-19 09:30:41","SELL","NIFTY26MAYFUT","NRML","65/65",23602,"COMPLETE",""
"2026-03-19 09:29:21","BUY","NIFTY26APR23800CE","NRML","65/65",448.2,"COMPLETE",""
"2026-03-19 09:29:05","BUY","NIFTY26MAY25000CE","NRML","65/65",200,"COMPLETE",""
"2026-03-19 09:28:24","BUY","NIFTY26MAY25000CE","NRML","65/65",200,"COMPLETE",""
