"Product","Instrument","Qty.","Avg.","LTP","P&L","Chg.",""
"NRML","BANKNIFTY26APR54000CE",-60,2228.48,2639,-24631.5,18.42,""
"NRML","BANKNIFTY26APR54500CE",-30,1920.05,2276.15,-10683,18.55,""
"NRML","BANKNIFTY26APR54500PE",-30,958.05,976,-538.5,1.87,""
"NRML","BANKNIFTY26APR55500PE",30,1280.9,1304.4,705,1.83,""
"NRML","BANKNIFTY26APR58500CE",60,989.98,318.25,-40303.5,-67.85,""
"NRML","BANKNIFTY26APR65000CE",180,99.11,26,-13159.5,-73.77,""
"NRML","BANKNIFTY26APRFUT",90,54892.73,55798,81474,1.65,""
"NRML","BANKNIFTY26MAY54000CE",-30,2551,3069.75,-15562.5,20.34,""
"NRML","BANKNIFTY26MAY60000CE",30,1950,301,-49470,-84.56,""
"NRML","BANKNIFTY26MAYFUT",-90,55548,55920,-33480,0.67,""
"NRML","NIFTY26APR23500CE",-130,740.23,832.15,-11950.25,12.42,""
"NRML","NIFTY26APR23800CE",-130,693.05,635.75,7449,-8.27,""
"NRML","NIFTY26APR24000CE",130,543.9,518.75,-3269.5,-4.62,""
"NRML","NIFTY26APR26000CE",130,160.43,31.8,-16721.25,-80.18,""
"NRML","NIFTY26APR27000CE",390,42.27,15.05,-10614.5,-64.39,""
"NRML","NIFTY26APRFUT",195,23628.9,23912.1,55224,1.2,""
"NRML","NIFTY26MAY24500CE",130,739,456.9,-36673,-38.17,""
"NRML","NIFTY26MAY25000CE",-130,492.5,266.2,29419,-45.95,""
"NRML","NIFTY26MAY25500CE",65,449,147,-19630,-67.26,""
"NRML","NIFTY26MAYFUT",-195,24129.1,24047.7,15873,-0.34,""
"NRML","BANKNIFTY26APR53000PE",0,0,643.2,13623,0,""
"NRML","BANKNIFTY26APR54000PE",0,0,858,-16932,0,""
"NRML","NIFTY26APR23600CE",0,0,763.95,6529.25,0,""
