"Product","Instrument","Qty.","Avg.","LTP","P&L","Chg.",""
"NRML","BANKNIFTY26APR53000PE",-60,1089.55,1132.75,-2592,3.96,""
"NRML","BANKNIFTY26APR54000CE",-60,2228.48,2289.55,-3664.5,2.74,""
"NRML","BANKNIFTY26APR54000PE",60,1410.83,1424,790.5,0.93,""
"NRML","BANKNIFTY26APR54500CE",-30,1920.05,1976.9,-1705.5,2.96,""
"NRML","BANKNIFTY26APR58500CE",60,989.98,338,-39118.5,-65.86,""
"NRML","BANKNIFTY26APR65000CE",180,99.11,30,-12439.5,-69.73,""
"NRML","BANKNIFTY26APRFUT",60,54819.9,54830,606,0.02,""
"NRML","BANKNIFTY26MAY54000CE",-30,2551,2668,-3510,4.59,""
"NRML","BANKNIFTY26MAY60000CE",30,1950,322.85,-48814.5,-83.44,""
"NRML","BANKNIFTY26MAYFUT",-90,55548,54956,53280,-1.07,""
"NRML","NIFTY26APR23500CE",-130,740.23,707.35,4273.75,-4.44,""
"NRML","NIFTY26APR23800CE",-130,693.05,537.55,20215,-22.44,""
"NRML","NIFTY26APR24800CE",130,460.58,170.6,-37696.75,-62.96,""
"NRML","NIFTY26APR26000CE",130,160.43,40.95,-15531.75,-74.47,""
"NRML","NIFTY26APR27000CE",390,42.27,20.3,-8567,-51.97,""
"NRML","NIFTY26APRFUT",130,23591.55,23538.6,-6883.5,-0.22,""
"NRML","NIFTY26MAY24500CE",130,739,410.55,-42698.5,-44.45,""
"NRML","NIFTY26MAY25000CE",-130,492.5,254.35,30959.5,-48.36,""
"NRML","NIFTY26MAY25500CE",65,449,155,-19110,-65.48,""
"NRML","NIFTY26MAYFUT",-195,24129.1,23678,87964.5,-1.87,""
