"Time","Type","Instrument","Product","Qty.","Avg. price","Status",""
"2026-03-30 10:00:35","BUY","NIFTY26MAYFUT","NRML","0/65",0,"REJECTED",""
"2026-03-30 10:00:23","BUY","NIFTY26APR24000CE","NRML","130/130",219.63,"COMPLETE",""
"2026-03-30 09:59:54","BUY","NIFTY26MAYFUT","NRML","0/65",0,"REJECTED",""
"2026-03-30 09:59:21","SELL","BANKNIFTY26MAYFUT","NRML","30/30",51699.2,"COMPLETE",""
"2026-03-30 09:59:16","BUY","BANKNIFTY26MAYFUT","NRML","30/30",51710.2,"COMPLETE",""
"2026-03-30 09:59:07","SELL","BANKNIFTY26MAYFUT","NRML","30/30",51699.2,"COMPLETE",""
"2026-03-30 09:59:01","BUY","BANKNIFTY26MAYFUT","NRML","30/30",51719.2,"COMPLETE",""
"2026-03-30 09:58:53","SELL","BANKNIFTY26MAYFUT","NRML","30/30",51687.8,"COMPLETE",""
"2026-03-30 09:58:47","BUY","BANKNIFTY26MAYFUT","NRML","0/60",0,"REJECTED",""
"2026-03-30 09:58:23","BUY","BANKNIFTY26MAYFUT","NRML","30/30",51700,"COMPLETE",""
