"Time","Type","Instrument","Product","Qty.","Avg. price","Status",""
"2026-03-27 15:21:36","SELL","NIFTY26APR22000PE","NRML","65/65",422.3,"COMPLETE",""
"2026-03-27 15:20:39","BUY","BANKNIFTY26MAY51000PE","NRML","30/30",1605,"COMPLETE",""
"2026-03-27 15:20:04","SELL","BANKNIFTY26MAY50000PE","NRML","30/30",1310,"COMPLETE",""
"2026-03-27 15:19:32","SELL","NIFTY26APR24000CE","NRML","0/65",0,"REJECTED",""
"2026-03-27 15:19:21","SELL","NIFTY26APR23100CE","NRML","0/65",0,"REJECTED",""
"2026-03-27 15:18:56","SELL","NIFTY26MAYFUT","NRML","65/65",23030,"COMPLETE",""
"2026-03-27 15:18:50","BUY","NIFTY26APR24000CE","NRML","65/65",263.4,"COMPLETE",""
"2026-03-27 15:18:38","SELL","NIFTY26APR24000CE","NRML","0/65",0,"REJECTED",""
"2026-03-27 15:18:20","SELL","NIFTY26MAYFUT","NRML","0/65",0,"REJECTED",""
"2026-03-27 15:17:19","SELL","BANKNIFTY26APR54500CE","NRML","0/30",0,"REJECTED",""
"2026-03-27 15:17:05","SELL","BANKNIFTY26MAYFUT","NRML","30/30",52852,"COMPLETE",""
"2026-03-27 15:16:42","SELL","BANKNIFTY26APR55000CE","NRML","0/30",0,"REJECTED",""
"2026-03-27 15:16:31","SELL","BANKNIFTY26APR55000CE","NRML","0/30",0,"REJECTED",""
"2026-03-27 15:15:12","SELL","BANKNIFTY26APR53500CE","NRML","30/30",1351.2,"COMPLETE",""
"2026-03-27 15:15:07","BUY","BANKNIFTY26APR56500CE","NRML","30/30",336.4,"COMPLETE",""
"2026-03-27 15:14:59","SELL","BANKNIFTY26APR53500CE","NRML","0/30",0,"REJECTED",""
"2026-03-27 15:14:52","BUY","BANKNIFTY26APR52500CE","NRML","30/30",1907.75,"COMPLETE",""
"2026-03-27 15:14:25","SELL","BANKNIFTY26MAY57000CE","NRML","0/30",572,"REJECTED",""
"2026-03-27 15:13:16","SELL","BANKNIFTY26APR52000CE","NRML","30/30",2199.1,"COMPLETE",""
"2026-03-27 15:13:11","BUY","BANKNIFTY26APR53500CE","NRML","30/30",1360.75,"COMPLETE",""
"2026-03-27 15:12:21","SELL","NIFTY26APR22900PE","NRML","65/65",733.6,"COMPLETE",""
"2026-03-27 15:12:14","BUY","NIFTY26APR22700PE","NRML","65/65",650,"COMPLETE",""
"2026-03-27 15:12:09","SELL","NIFTY26APR22900PE","NRML","130/130",732.7,"COMPLETE",""
"2026-03-27 15:12:01","BUY","NIFTY26APR22700PE","NRML","130/130",650.2,"COMPLETE",""
"2026-03-27 15:11:51","SELL","NIFTY26APR22900PE","NRML","65/65",732.45,"COMPLETE",""
"2026-03-27 15:11:43","BUY","NIFTY26APR21900PE","NRML","65/65",398.95,"COMPLETE",""
"2026-03-27 15:11:23","SELL","NIFTY26APR22900PE","NRML","0/65",0,"REJECTED",""
"2026-03-27 15:11:14","BUY","NIFTY26APR22700PE","NRML","65/65",649.1,"COMPLETE",""
"2026-03-27 15:10:38","SELL","BANKNIFTY26APR52500PE","NRML","30/30",1783.35,"COMPLETE",""
"2026-03-27 15:10:32","BUY","BANKNIFTY26APR52000PE","NRML","30/30",1603.4,"COMPLETE",""
"2026-03-27 15:10:25","SELL","BANKNIFTY26APR52500PE","NRML","30/30",1780,"COMPLETE",""
"2026-03-27 15:10:16","BUY","BANKNIFTY26APR52000PE","NRML","30/30",1607.6,"COMPLETE",""
"2026-03-27 11:41:43","SELL","BANKNIFTY26APR52400PE","NRML","30/30",1614.35,"COMPLETE",""
"2026-03-27 11:41:33","SELL","BANKNIFTY26APR52500PE","NRML","0/30",0,"REJECTED",""
"2026-03-27 11:41:23","BUY","BANKNIFTY26APR52400PE","NRML","30/30",1625.25,"COMPLETE",""
"2026-03-27 11:39:33","SELL","BANKNIFTY26APR56500CE","NRML","30/30",391.65,"COMPLETE",""
"2026-03-27 11:39:05","SELL","BANKNIFTY26APR55700CE","NRML","0/30",0,"REJECTED",""
"2026-03-27 11:38:55","SELL","BANKNIFTY26APR53500CE","NRML","30/30",1496.3,"COMPLETE",""
"2026-03-27 11:38:34","BUY","BANKNIFTY26APR52500CE","NRML","30/30",2071.75,"COMPLETE",""
"2026-03-27 11:37:16","SELL","BANKNIFTY26APR55700CE","NRML","0/30",0,"REJECTED",""
"2026-03-27 11:36:34","SELL","BANKNIFTY26APR55500CE","NRML","0/30",0,"REJECTED",""
"2026-03-27 11:36:26","BUY","BANKNIFTY26APR56000CE","NRML","30/30",514.85,"COMPLETE",""
"2026-03-27 10:34:24","SELL","BANKNIFTY26MAY50000PE","NRML","0/30",1180,"REJECTED",""
"2026-03-27 10:31:01","SELL","NIFTY26APR21900PE","NRML","65/65",340.85,"COMPLETE",""
"2026-03-27 10:30:28","SELL","NIFTY26APR22000PE","NRML","0/65",0,"REJECTED",""
"2026-03-27 10:29:18","SELL","NIFTY26APR22600PE","NRML","0/65",0,"REJECTED",""
"2026-03-27 10:29:00","SELL","NIFTY26APR24000CE","NRML","65/65",314.2,"COMPLETE",""
"2026-03-27 10:27:42","SELL","NIFTY26APR23200PE","NRML","130/130",757.63,"COMPLETE",""
"2026-03-27 10:27:34","BUY","NIFTY26APR22900PE","NRML","130/130",636.63,"COMPLETE",""
"2026-03-27 10:26:40","SELL","BANKNIFTY26APR54000PE","NRML","60/60",2204.6,"COMPLETE",""
"2026-03-27 10:26:31","BUY","BANKNIFTY26APR52500PE","NRML","60/60",1570.73,"COMPLETE",""
