"Product","Instrument","Qty.","Avg.","LTP","P&L","Chg.",""
"NRML","BANKNIFTY26APR50500CE",-60,1953.88,5610.05,-219370.5,187.12,""
"NRML","BANKNIFTY26APR52500CE",90,1699.82,3704.6,180430.5,117.94,""
"NRML","BANKNIFTY26APR53000CE",-30,1415.2,3277.55,-55870.5,131.6,""
"NRML","BANKNIFTY26APR58500CE",90,708.97,176.25,-47944.5,-75.14,""
"NRML","BANKNIFTY26APR65000CE",180,99.11,8.9,-16237.5,-91.02,""
"NRML","BANKNIFTY26APRFUT",60,54199.3,55990,107442,3.3,""
"NRML","BANKNIFTY26JUN51000CE",-30,3115.5,5825.15,-81289.5,86.97,""
"NRML","BANKNIFTY26JUN54000CE",30,1640,3604.7,58941,119.8,""
"NRML","BANKNIFTY26JUNFUT",-60,52240,56495,-255300,8.15,""
"NRML","BANKNIFTY26MAY49500PE",60,1766.85,281.65,-89112,-84.06,""
"NRML","BANKNIFTY26MAY52000CE",-60,2057.03,4661.7,-156280.5,126.62,""
"NRML","BANKNIFTY26MAY53000CE",60,2135.8,3856.3,103230,80.56,""
"NRML","BANKNIFTY26MAY54000CE",120,1619.75,3060,172830,88.92,""
"NRML","BANKNIFTY26MAY54500CE",-30,1363.45,2685.7,-39667.5,96.98,""
"NRML","BANKNIFTY26MAY60000CE",30,1950,277.35,-50179.5,-85.78,""
"NRML","NIFTY26APR22200PE",195,591.45,61.5,-103340.25,-89.6,""
"NRML","NIFTY26APR22400CE",-195,764.55,1763.65,-194824.5,130.68,""
"NRML","NIFTY26APR23200CE",195,521.17,1051.95,103502.75,101.85,""
"NRML","NIFTY26APR23400CE",195,437,888.4,88023,103.3,""
"NRML","NIFTY26APR26000CE",195,110.12,12.7,-18996.25,-88.47,""
"NRML","NIFTY26APR27000CE",260,41.06,4.7,-9454.25,-88.55,""
"NRML","NIFTY26APRFUT",65,23227.95,24087.1,104422.5,3.7,""
"NRML","NIFTY26JUN24000CE",65,610,964.3,23029.5,58.08,""
"NRML","NIFTY26JUN24500CE",-65,403,675.45,-17709.25,67.61,""
"NRML","NIFTY26JUNFUT",-65,23250,24360,-72150,4.77,""
"NRML","NIFTY26MAY23000CE",130,914.5,1462,71175,59.87,""
"NRML","NIFTY26MAY24000CE",-130,396.03,724.8,-42740.75,83.02,""
"NRML","BANKNIFTY26MAY50000PE",0,0,320,26152.5,0,""
"NRML","BANKNIFTY26MAY51000PE",0,0,412,31915.5,0,""
"NRML","NIFTY26APR23000PE",0,0,127.3,47004.75,0,""
"NRML","NIFTY26APR23600CE",0,0,731.35,-28522,0,""
"NRML","NIFTY26MAYFUT",0,0,24218,-172893.5,0,""
