"Product","Instrument","Qty.","Avg.","LTP","P&L","Chg.",""
"NRML","BANKNIFTY26APR50000PE",60,1552.35,1498,-3261,-3.5,""
"NRML","BANKNIFTY26APR50500CE",-60,1953.88,2010,-3367.5,2.87,""
"NRML","BANKNIFTY26APR51000CE",-30,2070.1,1725.6,10335,-16.64,""
"NRML","BANKNIFTY26APR51500CE",-30,1762.59,1492,47035.5,-15.35,""
"NRML","BANKNIFTY26APR52500CE",60,1989.75,1050,-56385,-47.23,""
"NRML","BANKNIFTY26APR54500CE",30,1015.4,427.8,-36052.5,-57.87,""
"NRML","BANKNIFTY26APR58500CE",90,708.97,49.5,-59352,-93.02,""
"NRML","BANKNIFTY26APR65000CE",180,99.11,9.3,-16165.5,-90.62,""
"NRML","BANKNIFTY26APRFUT",120,54069.2,50759,-397224,-6.12,""
"NRML","BANKNIFTY26MAR60000CE",25,14.2,0.1,-1551,-99.3,""
"NRML","BANKNIFTY26MAY50000PE",-30,1310,1865,-16650,42.37,""
"NRML","BANKNIFTY26MAY51000CE",30,2720,2382.6,-10122,-12.4,""
"NRML","BANKNIFTY26MAY51000PE",30,1605,2279.95,20248.5,42.05,""
"NRML","BANKNIFTY26MAY52000CE",-30,2580,1841.8,22146,-28.61,""
"NRML","BANKNIFTY26MAY54000CE",30,1810,1106.3,-21111,-38.88,""
"NRML","BANKNIFTY26MAY60000CE",30,1950,148.4,-54048,-92.39,""
"NRML","BANKNIFTY26MAYFUT",-120,52481.69,51035.8,242976,-2.76,""
"NRML","NIFTY26APR22200PE",260,623.83,616.15,-1995.5,-1.23,""
"NRML","NIFTY26APR22400CE",-195,764.55,777.65,-2554.5,1.71,""
"NRML","NIFTY26APR22500CE",130,811.73,751.3,-7855.25,-7.44,""
"NRML","NIFTY26APR23000PE",-130,498.45,989.85,-63882,98.59,""
"NRML","NIFTY26APR23500CE",260,604.93,299,-97129.5,-50.57,""
"NRML","NIFTY26APR26000CE",130,160.43,17.65,-18560.75,-89,""
"NRML","NIFTY26APR27000CE",390,42.27,6.25,-14046.5,-85.21,""
"NRML","NIFTY26APRFUT",260,23393.38,22454.6,-244081.5,-4.01,""
"NRML","NIFTY26MAY23000CE",130,914.5,717.35,-25629.5,-21.56,""
"NRML","NIFTY26MAY24000CE",-130,396.03,337.95,7549.75,-14.66,""
"NRML","NIFTY26MAYFUT",-325,23092.5,22605,208110.5,-2.11,""
"CNC","ATHERENERG",10,748.9,754,51,0.68,""
"NRML","BANKNIFTY26APR50500PE",0,0,1712,6540,0,""
"NRML","BANKNIFTY26APR51000PE",0,0,1930,10683,0,""
"NRML","BANKNIFTY26APR52000CE",0,0,1244.15,59371.5,0,""
"NRML","BANKNIFTY26APR52000PE",0,0,2400.05,29929.5,0,""
"NRML","BANKNIFTY26APR53500CE",0,0,691.25,32872.5,0,""
"NRML","BANKNIFTY26MAR55600CE",0,0,0.05,-22018.5,0,""
"NRML","BANKNIFTY26MAR56000CE",0,0,0.05,-13936.5,0,""
"NRML","BANKNIFTY26MAR59000CE",0,0,0.05,-3447,0,""
"NRML","BANKNIFTY26MAR63500CE",0,0,0.25,-31552.5,0,""
"NRML","NIFTY26APR21000PE",0,0,259.95,503.75,0,""
"NRML","NIFTY26APR22000PE",0,0,520.65,-5976.75,0,""
"NRML","NIFTY26APR22300PE",0,0,667,7621.25,0,""
"NRML","NIFTY26APR22400PE",0,0,706.55,6607.25,0,""
"NRML","NIFTY26APR22500PE",0,0,734.05,11069.5,0,""
"NRML","NIFTY26APR22600PE",0,0,789.45,-17595.5,0,""
"NRML","NIFTY26APR22700CE",0,0,638.8,50654.5,0,""
"NRML","NIFTY26APR22700PE",0,0,818.9,17647.5,0,""
"NRML","NIFTY26APR23100CE",0,0,436.4,10419.5,0,""
"NRML","NIFTY26APR24000CE",0,0,169.25,11121.5,0,""
"NRML","NIFTY26MAY24500CE",0,0,215.65,2938,0,""
