"Product","Instrument","Qty.","Avg.","LTP","P&L","Chg.",""
"NRML","BANKNIFTY26APR51000PE",-30,852.35,815.8,1096.5,-4.29,""
"NRML","BANKNIFTY26APR52000PE",30,861.95,1022.85,4827,18.67,""
"NRML","BANKNIFTY26APR53000CE",-30,2300.35,2480,-5389.5,7.81,""
"NRML","BANKNIFTY26APR53500CE",30,2005.5,2068.2,1881,3.13,""
"NRML","BANKNIFTY26APR54000CE",-90,2051,1820,20790,-11.26,""
"NRML","BANKNIFTY26APR58500CE",60,989.98,208.55,-46885.5,-78.93,""
"NRML","BANKNIFTY26APR65000CE",180,99.11,24.25,-13474.5,-75.53,""
"NRML","BANKNIFTY26APRFUT",90,54892.73,54140,-67746,-1.37,""
"NRML","BANKNIFTY26MAY54000CE",-30,2551,2308.1,7287,-9.52,""
"NRML","BANKNIFTY26MAY60000CE",30,1950,235,-51450,-87.95,""
"NRML","BANKNIFTY26MAYFUT",-120,55294.25,54298,119550,-1.8,""
"NRML","NIFTY26APR23000CE",65,787.5,825,2437.5,4.76,""
"NRML","NIFTY26APR23000PE",65,603.05,560.05,-2795,-7.13,""
"NRML","NIFTY26APR23100CE",-65,723.7,765,-2684.5,5.71,""
"NRML","NIFTY26APR23200PE",65,542,633.65,5957.25,16.91,""
"NRML","NIFTY26APR23500CE",-130,740.23,536,26549.25,-27.59,""
"NRML","NIFTY26APR24000CE",65,543.9,323,-28210,-40.61,""
"NRML","NIFTY26APR26000CE",130,160.43,27.5,-17280.25,-82.86,""
"NRML","NIFTY26APR27000CE",390,42.27,14.3,-10907,-66.17,""
"NRML","NIFTY26APRFUT",260,23575.18,23270,-79345.5,-1.29,""
"NRML","NIFTY26MAY24500CE",130,739,322.5,-54145,-56.36,""
"NRML","NIFTY26MAY25500CE",65,449,107.85,-22174.75,-75.98,""
"NRML","NIFTY26MAYFUT",-325,23916.86,23410.9,164437,-2.12,""
