"Product","Instrument","Qty.","Avg.","LTP","P&L","Chg.",""
"NRML","BANKNIFTY26APR50500CE",-60,1953.88,2399.05,-26710.5,22.78,""
"NRML","BANKNIFTY26APR51000CE",-30,2070.1,2083.95,-415.5,0.67,""
"NRML","BANKNIFTY26APR51000PE",60,1428.48,1274.7,-9226.5,-10.76,""
"NRML","BANKNIFTY26APR51500PE",-30,1376.35,1474,-2929.5,7.09,""
"NRML","BANKNIFTY26APR52500CE",60,1989.75,1263.15,-43596,-36.52,""
"NRML","BANKNIFTY26APR58500CE",90,708.97,48,-59487,-93.23,""
"NRML","BANKNIFTY26APR65000CE",180,99.11,8.2,-16363.5,-91.73,""
"NRML","BANKNIFTY26APRFUT",90,54069.2,51780,-283824,-4.23,""
"NRML","BANKNIFTY26JUN51000CE",-30,3115.5,3259.9,-4332,4.63,""
"NRML","BANKNIFTY26JUNFUT",-60,52240,52363.2,-7392,0.24,""
"NRML","BANKNIFTY26MAY50000PE",-60,1287.38,1350.35,-3778.5,4.89,""
"NRML","BANKNIFTY26MAY51000CE",30,2720,2768.6,1458,1.79,""
"NRML","BANKNIFTY26MAY51000PE",90,1729.54,1680,-2206.5,-2.86,""
"NRML","BANKNIFTY26MAY52000CE",-30,2580,2180.7,11979,-15.48,""
"NRML","BANKNIFTY26MAY52500CE",60,2000,1897.6,-6144,-5.12,""
"NRML","BANKNIFTY26MAY54000CE",30,1810,1234,-17280,-31.82,""
"NRML","BANKNIFTY26MAY60000CE",30,1950,115,-55050,-94.1,""
"NRML","BANKNIFTY26MAYFUT",-30,51595.56,52038.4,-65904,0.86,""
"NRML","NIFTY26APR22200PE",65,623.83,383.95,-62422.75,-38.45,""
"NRML","NIFTY26APR22400CE",-195,764.55,894.95,-25428,17.06,""
"NRML","NIFTY26APR22400PE",-65,410.1,452.85,-2778.75,10.42,""
"NRML","NIFTY26APR22500PE",195,453.83,481.2,5336.5,6.03,""
"NRML","NIFTY26APR23000CE",130,622,536.5,-11115,-13.75,""
"NRML","NIFTY26APR23000PE",-130,498.45,692.4,-25213.5,38.91,""
"NRML","NIFTY26APR23500CE",130,587.66,316,-66417,-46.23,""
"NRML","NIFTY26APR26000CE",130,160.43,11.15,-19405.75,-93.05,""
"NRML","NIFTY26APR27000CE",390,42.27,4.55,-14709.5,-89.24,""
"NRML","NIFTY26APRFUT",260,23393.38,22830,-146477.5,-2.41,""
"NRML","NIFTY26JUN24500CE",-65,403,345,3770,-14.39,""
"NRML","NIFTY26JUNFUT",-65,23250,23103,9555,-0.63,""
"NRML","NIFTY26MAY23000CE",130,914.5,791.7,-15964,-13.43,""
"NRML","NIFTY26MAY24000CE",-130,396.03,345.9,6516.25,-12.66,""
"NRML","NIFTY26MAYFUT",-195,22855.64,22960,-52312,0.46,""
"NRML","BANKNIFTY26APR50000PE",0,0,947,-29988,0,""
"NRML","BANKNIFTY26APR51500CE",0,0,1790,-9168,0,""
"NRML","BANKNIFTY26APR54500CE",0,0,518.7,2575.5,0,""
"NRML","NIFTY26APR22500CE",0,0,830,15934.75,0,""
