"Product","Instrument","Qty.","Avg.","LTP","P&L","Chg.",""
"NRML","BANKNIFTY26APR50000PE",30,1260.05,1421.4,4840.5,12.81,""
"NRML","BANKNIFTY26APR50500PE",120,1373.45,1565,23025,13.95,""
"NRML","BANKNIFTY26APR51000PE",-30,1228.35,1780,-40222.5,44.91,""
"NRML","BANKNIFTY26APR52000CE",-60,2343.05,1920,26544,-18.06,""
"NRML","BANKNIFTY26APR52500CE",30,2070.7,1669.8,-12027,-19.36,""
"NRML","BANKNIFTY26APR53500CE",-30,1336.9,1242.55,2830.5,-7.06,""
"NRML","BANKNIFTY26APR58500CE",90,708.97,147.7,-50514,-79.17,""
"NRML","BANKNIFTY26APR65000CE",180,99.11,16,-14959.5,-83.86,""
"NRML","BANKNIFTY26APRFUT",90,54892.73,51700.2,-287328,-5.82,""
"NRML","BANKNIFTY26MAY52000CE",-30,2580,2415.9,4923,-6.36,""
"NRML","BANKNIFTY26MAY60000CE",30,1950,200,-52500,-89.74,""
"NRML","BANKNIFTY26MAYFUT",-120,55294.25,51965.2,399486,-6.02,""
"NRML","NIFTY26APR22000PE",-195,455.08,561,-20653.75,23.27,""
"NRML","NIFTY26APR22500PE",130,681.53,743,7991.75,9.02,""
"NRML","NIFTY26APR22700CE",-130,832.03,760.55,9291.75,-8.59,""
"NRML","NIFTY26APR22700PE",65,668.23,820.75,20952.75,22.82,""
"NRML","NIFTY26APR23100CE",-65,723.7,562.2,10497.5,-22.32,""
"NRML","NIFTY26APR23400CE",65,663.95,427.25,-15385.5,-35.65,""
"NRML","NIFTY26APR24000CE",65,544.8,231.5,-20364.5,-57.51,""
"NRML","NIFTY26APR26000CE",130,160.43,25.45,-17546.75,-84.14,""
"NRML","NIFTY26APR27000CE",390,42.27,12.1,-11765,-71.37,""
"NRML","NIFTY26APRFUT",260,23575.18,22625.1,-247019.5,-4.03,""
"NRML","NIFTY26MAY24500CE",130,739,243,-64480,-67.12,""
"NRML","NIFTY26MAY25500CE",65,449,97.85,-22824.75,-78.21,""
"NRML","NIFTY26MAYFUT",-325,23916.86,22770,372729.5,-4.8,""
"CNC","ATHERENERG",10,730,749.05,190.5,2.61,""
"NRML","BANKNIFTY26APR51500PE",0,0,1968.6,24009,0,""
"NRML","BANKNIFTY26APR52000PE",0,0,2158.5,16287,0,""
"NRML","BANKNIFTY26APR53000CE",0,0,1411.15,15219,0,""
"NRML","BANKNIFTY26APR53000PE",0,0,2671.05,-28573.5,0,""
"NRML","BANKNIFTY26APR54000CE",0,0,1025,76086,0,""
"NRML","BANKNIFTY26APR54000PE",0,0,3221.45,32698.5,0,""
"NRML","BANKNIFTY26APR54500CE",0,0,821.45,-47875.5,0,""
"NRML","BANKNIFTY26APR56000CE",0,0,451.5,7740,0,""
"NRML","BANKNIFTY26MAY54000CE",0,0,1471.85,28530,0,""
"NRML","NIFTY26APR23000PE",0,0,956.55,31954,0,""
"NRML","NIFTY26APR23100PE",0,0,1004,-24638.25,0,""
"NRML","NIFTY26APR23500CE",0,0,391,40579.5,0,""
