"Time","Type","Instrument","Product","Qty.","Avg. price","Status",""
"2026-03-24 14:47:17","SELL","NIFTY26APR24000CE","NRML","65/65",296.15,"COMPLETE",""
"2026-03-24 14:47:08","BUY","NIFTY26APR23400CE","NRML","65/65",528.1,"COMPLETE",""
"2026-03-24 14:46:34","BUY","BANKNIFTY26MAY54000CE","NRML","30/30",1810,"COMPLETE",""
"2026-03-24 14:45:24","SELL","NIFTY26APR22500PE","NRML","65/65",501.5,"COMPLETE",""
"2026-03-24 14:44:56","SELL","NIFTY26APR22600PE","NRML","65/65",533.4,"COMPLETE",""
"2026-03-24 14:44:49","BUY","NIFTY26APR22900PE","NRML","65/65",648.7,"COMPLETE",""
"2026-03-24 14:44:25","SELL","BANKNIFTY26APR51500PE","NRML","30/30",1279,"COMPLETE",""
"2026-03-24 14:44:19","SELL","BANKNIFTY26APR51500PE","NRML","30/30",1270.7,"COMPLETE",""
"2026-03-24 14:43:31","SELL","BANKNIFTY26APR52000PE","NRML","60/60",1422.2,"COMPLETE",""
"2026-03-24 14:43:09","SELL","NIFTY26APR22600PE","NRML","65/65",527.5,"COMPLETE",""
"2026-03-24 14:42:47","BUY","NIFTY26APR22900PE","NRML","65/65",642.15,"COMPLETE",""
"2026-03-24 14:42:43","BUY","NIFTY26APR22000PE","NRML","130/130",365.15,"COMPLETE",""
"2026-03-24 14:42:21","BUY","BANKNIFTY26APR51000PE","NRML","30/30",1155.4,"COMPLETE",""
"2026-03-24 14:41:48","BUY","NIFTY26MAYFUT","NRML","65/65",23145,"COMPLETE",""
"2026-03-24 14:41:11","BUY","BANKNIFTY26APR52500PE","NRML","30/30",1635.95,"COMPLETE",""
"2026-03-24 14:40:58","BUY","BANKNIFTY26APR52500PE","NRML","30/30",1634.85,"COMPLETE",""
"2026-03-24 14:39:49","BUY","BANKNIFTY26MAYFUT","NRML","30/30",53175,"COMPLETE",""
"2026-03-24 10:16:58","SELL","NIFTY26MAY25500CE","NRML","65/65",103.3,"COMPLETE",""
"2026-03-24 10:16:40","SELL","NIFTY26MAY24500CE","NRML","65/65",266.2,"COMPLETE",""
"2026-03-24 10:16:14","SELL","NIFTY26MAY24500CE","NRML","65/65",263.15,"COMPLETE",""
"2026-03-24 10:16:01","SELL","NIFTY26MAY24500CE","NRML","65/65",261.75,"COMPLETE",""
"2026-03-24 09:49:29","SELL","BANKNIFTY26APR51000PE","NRML","30/30",1291.7,"COMPLETE",""
"2026-03-24 09:49:25","BUY","BANKNIFTY26APR52000PE","NRML","30/30",1639.6,"COMPLETE",""
"2026-03-24 09:48:32","SELL","NIFTY26APR22700PE","NRML","65/65",671.65,"COMPLETE",""
"2026-03-24 09:48:24","BUY","NIFTY26APR22500PE","NRML","65/65",595.35,"COMPLETE",""
"2026-03-24 09:48:09","SELL","NIFTY26APR22000PE","NRML","65/65",439.7,"COMPLETE",""
"2026-03-24 09:48:02","BUY","NIFTY26APR22500PE","NRML","65/65",595.55,"COMPLETE",""
"2026-03-24 09:47:07","BUY","NIFTY26APR22500PE","NRML","65/65",594.5,"COMPLETE",""
"2026-03-24 09:44:59","BUY","BANKNIFTY26APR52000PE","NRML","30/30",1609.6,"COMPLETE",""
"2026-03-24 09:42:52","BUY","BANKNIFTY26APR52000PE","NRML","30/30",1588.95,"COMPLETE",""
"2026-03-24 09:42:41","BUY","NIFTY26MAYFUT","NRML","65/65",23025,"COMPLETE",""
"2026-03-24 09:42:16","BUY","BANKNIFTY26MAYFUT","NRML","30/30",52910,"COMPLETE",""
"2026-03-24 09:41:30","SELL","BANKNIFTY26APR52000PE","NRML","30/30",1560.3,"COMPLETE",""
"2026-03-24 09:38:28","SELL","BANKNIFTY26APR50500PE","NRML","30/30",1095.15,"COMPLETE",""
"2026-03-24 09:38:20","BUY","BANKNIFTY26APR52000PE","NRML","30/30",1557,"COMPLETE",""
"2026-03-24 09:36:48","BUY","NIFTY26APRFUT","NRML","65/65",22939.9,"COMPLETE",""
"2026-03-24 09:36:14","SELL","BANKNIFTY26APR50500PE","NRML","30/30",1062.85,"COMPLETE",""
"2026-03-24 09:36:04","SELL","BANKNIFTY26APR50500PE","NRML","30/30",1061.3,"COMPLETE",""
"2026-03-24 09:34:19","SELL","BANKNIFTY26APR50000PE","NRML","30/30",940.15,"COMPLETE",""
"2026-03-24 09:34:03","BUY","BANKNIFTY26APR52000PE","NRML","30/30",1499.6,"COMPLETE",""
"2026-03-24 09:33:36","BUY","BANKNIFTY26APRFUT","NRML","30/30",52839.8,"COMPLETE",""
"2026-03-24 09:32:20","SELL","BANKNIFTY26APR51000PE","NRML","30/30",1167.55,"COMPLETE",""
"2026-03-24 09:32:13","BUY","BANKNIFTY26APR52000PE","NRML","30/30",1484,"COMPLETE",""
"2026-03-24 09:31:30","BUY","NIFTY26MAY23000CE","NRML","65/65",915,"COMPLETE",""
