"Product","Instrument","Qty.","Avg.","LTP","P&L","Chg.",""
"NRML","BANKNIFTY26APR52000CE",-60,2329.38,3058.25,-43732.5,31.29,""
"NRML","BANKNIFTY26APR53500CE",-30,1336.9,2049.9,-21390,53.33,""
"NRML","BANKNIFTY26APR54000PE",60,1580.28,1642.35,3724.5,3.93,""
"NRML","BANKNIFTY26APR54500CE",30,1617.18,1456.05,-20821.5,-9.96,""
"NRML","BANKNIFTY26APR56000CE",-30,795.25,784.95,309,-1.3,""
"NRML","BANKNIFTY26APR58500CE",90,708.97,200,-45807,-71.79,""
"NRML","BANKNIFTY26APR65000CE",180,99.11,13.75,-15364.5,-86.13,""
"NRML","BANKNIFTY26APRFUT",120,54319.43,54084,-29868,-0.43,""
"NRML","BANKNIFTY26MAR55600CE",30,735.4,101.85,-19006.5,-86.15,""
"NRML","BANKNIFTY26MAR56000CE",30,465.75,59.05,-12201,-87.32,""
"NRML","BANKNIFTY26MAR59000CE",30,115.9,5.45,-3313.5,-95.3,""
"NRML","BANKNIFTY26MAR60000CE",25,61.9,4.2,-1442.5,-93.21,""
"NRML","BANKNIFTY26MAR63500CE",240,131.82,2.35,-31072.5,-98.22,""
"NRML","BANKNIFTY26MAY52000CE",-30,2580,3572.2,-29766,38.46,""
"NRML","BANKNIFTY26MAY54000CE",30,1810,2273,13890,25.58,""
"NRML","BANKNIFTY26MAY60000CE",30,1950,251.1,-50967,-87.12,""
"NRML","BANKNIFTY26MAYFUT",-60,54256,54330,-4440,0.14,""
"NRML","NIFTY26APR22600PE",-65,530.45,388.05,17715.75,-26.85,""
"NRML","NIFTY26APR22700CE",-130,832.03,1173.05,-44333.25,40.99,""
"NRML","NIFTY26APR22900PE",130,645.42,468.35,-23019.75,-27.44,""
"NRML","NIFTY26APR23000PE",-130,507.17,499.45,3685.5,-1.52,""
"NRML","NIFTY26APR23100CE",-65,723.7,879.2,-10107.5,21.49,""
"NRML","NIFTY26APR23200PE",130,600.28,562.4,-4923.75,-6.31,""
"NRML","NIFTY26APR23500CE",260,671.98,633.95,-9886.5,-5.66,""
"NRML","NIFTY26APR24000CE",-130,282.58,380,-12665.25,34.48,""
"NRML","NIFTY26APR26000CE",130,160.43,29,-17085.25,-81.92,""
"NRML","NIFTY26APR27000CE",390,42.27,11.2,-12116,-73.5,""
"NRML","NIFTY26APRFUT",260,23459.43,23445,3607.5,-0.06,""
"NRML","NIFTY26MAY23000CE",130,914.5,1160,31915,26.85,""
"NRML","NIFTY26MAY24000CE",-65,437.05,571,-8706.75,30.65,""
"NRML","NIFTY26MAY24500CE",-65,266.2,364.95,-6418.75,37.1,""
"NRML","NIFTY26MAYFUT",-195,23508.1,23555,-9145.5,0.2,""
"NRML","BANKNIFTY26APR51000PE",0,0,764.4,34668,0,""
"NRML","BANKNIFTY26APR51500PE",0,0,862.2,19296,0,""
"NRML","BANKNIFTY26APR52000PE",0,0,1009.25,-70005,0,""
"NRML","BANKNIFTY26APR52500CE",0,0,2696.6,22014,0,""
"NRML","BANKNIFTY26APR52500PE",0,0,1126,-18412.5,0,""
"NRML","BANKNIFTY26APR53500PE",0,0,1454.25,-9045,0,""
"NRML","BANKNIFTY26APR53600CE",0,0,1968.15,4332,0,""
"NRML","BANKNIFTY26APR54000CE",0,0,1736.4,7129.5,0,""
"NRML","NIFTY26APR22000PE",0,0,263.85,24644.75,0,""
"NRML","NIFTY26APR22500PE",0,0,365.65,-65097.5,0,""
"NRML","NIFTY26APR23000CE",0,0,942.35,19630,0,""
"NRML","NIFTY26APR23400CE",0,0,685,18284.5,0,""
