"Product","Instrument","Qty.","Avg.","LTP","P&L","Chg.",""
"NRML","BANKNIFTY26APR51000PE",-30,852.35,868.4,-481.5,1.88,""
"NRML","BANKNIFTY26APR52000PE",30,979.1,1099.75,7804.5,12.32,""
"NRML","BANKNIFTY26APR53000CE",-30,2300.35,2294.75,168,-0.24,""
"NRML","BANKNIFTY26APR53000PE",-30,1086.75,1404.45,-9531,29.23,""
"NRML","BANKNIFTY26APR54000CE",-90,2051,1710.7,30627,-16.59,""
"NRML","BANKNIFTY26APR54000PE",30,1416.8,1770,10596,24.93,""
"NRML","BANKNIFTY26APR54500CE",60,1771.1,1429,-20526,-19.32,""
"NRML","BANKNIFTY26APR56000CE",-30,878.95,757,6181.5,-13.87,""
"NRML","BANKNIFTY26APR58500CE",60,989.98,178.55,-48685.5,-81.96,""
"NRML","BANKNIFTY26APR65000CE",180,99.11,21.3,-14005.5,-78.51,""
"NRML","BANKNIFTY26APRFUT",90,54892.73,53930,-86646,-1.75,""
"NRML","BANKNIFTY26MAY54000CE",-30,2551,2170,11430,-14.94,""
"NRML","BANKNIFTY26MAY60000CE",30,1950,215.05,-52048.5,-88.97,""
"NRML","BANKNIFTY26MAYFUT",-120,55294.25,54123.6,140478,-2.12,""
"NRML","NIFTY26APR23000PE",130,550.6,553,312,0.44,""
"NRML","NIFTY26APR23100CE",-65,723.7,775,-3334.5,7.09,""
"NRML","NIFTY26APR23100PE",-65,523.7,587,-4114.5,12.09,""
"NRML","NIFTY26APR23400CE",65,663.95,606.5,-3734.25,-8.65,""
"NRML","NIFTY26APR23500CE",-130,740.23,551.8,24495.25,-25.46,""
"NRML","NIFTY26APR24000CE",65,544.8,335.6,-13598,-38.4,""
"NRML","NIFTY26APR26000CE",130,160.43,25.45,-17546.75,-84.14,""
"NRML","NIFTY26APR27000CE",390,42.27,12,-11804,-71.61,""
"NRML","NIFTY26APRFUT",260,23575.18,23276,-77785.5,-1.27,""
"NRML","NIFTY26MAY24500CE",130,739,326.55,-53618.5,-55.81,""
"NRML","NIFTY26MAY25500CE",65,449,108.95,-22103.25,-75.73,""
"NRML","NIFTY26MAYFUT",-325,23916.86,23418,162129.5,-2.09,""
"NRML","BANKNIFTY26APR53500CE",0,0,2008,11827.5,0,""
"NRML","NIFTY26APR23000CE",0,0,849.5,6893.25,0,""
"NRML","NIFTY26APR23200PE",0,0,623.15,676,0,""
"NRML","NIFTY26APR23600CE",0,0,502.45,858,0,""
