date,Close,High,Low,Open,Volume
2023-08-21,248.5124664306641,261.64198630571326,248.5124664306641,261.592076341765,74715306
2023-08-22,236.0818634033203,236.0818634033203,236.0818634033203,236.0818634033203,7281398
2023-08-23,224.3002319335937,224.3002319335937,224.3002319335937,224.3002319335937,4289046
2023-08-24,213.11767578125,213.11767578125,213.11767578125,213.11767578125,27673356
2023-08-25,214.16603088378903,223.751090108265,202.48425042804325,202.48425042804325,281040185
2023-08-28,210.8212432861328,221.903967202166,207.226857457848,213.0178301776218,87522126
2023-08-29,219.90708923339844,221.3548286580761,206.9273291424373,211.66993379105776,92693424
2023-08-30,230.88995361328125,230.88995361328125,224.35014863690407,224.54983419842816,21403170
2023-08-31,233.136459350586,242.42198304838664,230.79011201685617,241.32368956557008,124122179
2023-09-01,244.768310546875,244.768310546875,233.8353620653572,234.63411956193613,39481020
2023-09-04,253.05538940429688,266.534385890434,248.6123208537168,254.9025151512389,99246736
2023-09-05,254.6529083251953,259.59519848002003,252.606096982481,256.599869266789,47127078
2023-09-06,252.45632934570312,259.3954902078186,245.66691361089173,246.61543145409348,225413157
2023-09-07,251.4079742431641,256.89939602790463,250.85882749418025,251.6076598150584,43856832
2023-09-08,252.8057861328125,254.60298673323,249.1115497644741,253.60454364800165,36090005
2023-09-11,249.76052856445312,257.29879204605777,249.6107681975475,256.5499597414651,24982858
2023-09-12,243.8697204589844,251.60765427088663,240.5249300720847,251.35804350276075,39500716
2023-09-13,239.82601928710932,247.41419261567373,236.2316334222884,244.4188634441402,27810990
2023-09-14,242.17236328125,244.1692493685248,240.87438427751505,241.6232165602431,14055236
2023-09-15,239.0272674560547,244.2690936303983,237.27999206460683,243.42042615271447,27416106
2023-09-18,232.8369140625,240.47501246547327,231.7386358586629,239.62632978679892,24694419
2023-09-20,229.29244995117188,231.63879731105115,228.6434680354772,230.04128227006532,18317607
2023-09-21,227.29556274414065,235.2331974767013,226.4468952609017,229.64191009345632,33101551
2023-09-22,227.44532775878903,231.8883962436854,225.99758839652367,227.59508812090792,38327554
2023-09-25,229.3922882080078,230.49058164490972,227.14579137027977,229.64189896775537,13392150
2023-09-26,230.0412750244141,231.33925404995327,229.64190389426287,230.74019735472652,8058261
2023-09-27,226.9960327148437,230.84002930283367,226.64657155455748,230.84002930283367,10984321
2023-09-28,224.6996154785156,228.49370218355244,224.4000795111384,227.64501948182223,9143582
2023-09-29,230.84002685546875,232.53737696951,224.64968307983085,225.5482757181375,12411231
2023-10-03,231.0397186279297,233.5358262848219,230.1910511656056,231.1395690282182,13185432
2023-10-04,224.3002319335937,229.6419085081217,223.1520284850661,229.6419085081217,23296548
2023-10-05,225.049057006836,227.5451646277416,223.8509283958076,225.54827853101705,13894930
2023-10-06,224.74954223632807,227.2955598890971,223.35171279055868,226.14735644706528,7531900
2023-10-09,219.3080139160156,222.65280428971707,218.5092716491904,222.65280428971707,9696908
2023-10-10,219.80723571777344,223.55139722944364,219.4078645838748,220.65591842109825,10451289
2023-10-11,224.74954223632807,227.3454850898446,220.25654839963147,221.65436261036865,11765082
2023-10-12,224.7994537353516,227.0459506690228,224.40008259671183,226.64657953038304,7780605
2023-10-13,224.2003936767578,225.5482826757972,221.65436080964065,223.6512469430608,10137218
2023-10-16,224.4499969482422,225.5982003426033,223.6512394745411,224.5498321105601,10850724
2023-10-17,220.60598754882807,232.63722927734528,220.15669122598555,231.1395647111821,34190044
2023-10-18,215.6636962890625,222.5529471598393,215.2143999688,221.2549833979768,27712062
2023-10-19,213.8665008544922,215.6637014132759,208.7245251786977,215.6637014132759,42127110
2023-10-20,213.8665008544922,216.6621444753744,212.6683722269804,215.16447988222663,11101464
2023-10-23,206.27835083007807,213.86650925921387,203.93200344792493,213.66682368595315,17817781
2023-10-25,209.8227996826172,211.47023984686464,206.1784886646399,206.2783390630907,22079260
2023-10-26,215.51394653320312,216.66214998982747,206.12857236958283,207.67616220223093,23734035
2023-10-27,222.55294799804688,225.24875639983884,216.11299342327763,219.2580981470243,20929447
2023-10-30,218.65902709960932,225.84781398464497,217.81034441639724,224.1504638532525,13508666
