Date,Close,High,Low,Open,Volume
2009-09-01,140.2163543701172,144.0833863018252,139.63387143656772,142.46538089627703,14452090
2009-09-02,140.3134307861328,141.57547302773293,138.74396356717827,140.0383728297639,10257870
2009-09-03,141.332763671875,142.1336807574126,140.53994451343644,141.4945617366419,8141010
2009-09-04,142.5826873779297,143.52113354147505,141.0172690136205,141.7615500709281,11168520
2009-09-07,146.70050048828125,147.3921942953311,143.2743737829889,143.4038048248199,15435350
2009-09-08,153.2291259765625,154.51543705985554,147.0766650811446,148.451966938122,33064000
2009-09-09,153.2857666015625,154.33342344642335,151.36438550140926,152.90148544377203,15133650
2009-09-10,152.21791076660156,155.73302868738327,151.37250437791263,154.5235735316822,15544830
2009-09-11,155.3689727783203,157.5694611350038,151.7972189041631,153.66602553180368,15730190
2009-09-14,158.27735900878906,158.92456372889967,154.56807567488994,156.05663789006204,20335210
2009-09-15,162.45181274414062,163.41049149880536,158.56860890679118,160.9672994146899,21787620
2009-09-16,168.81459045410156,169.80966030998323,163.0140426270623,165.8415030886731,25738170
2009-09-17,170.03619384765625,173.34502451150053,168.55168069874887,170.69958203490603,31467900
2009-09-18,173.75762939453125,174.90641194869286,168.2321385030639,168.67709253498657,39998710
2009-09-22,175.6142578125,176.76708912349002,172.31757429429462,173.12657699051198,18926230
2009-09-23,173.2600555419922,176.9814728509536,172.72207418508344,176.7670876320409,17880240
2009-09-24,175.3351593017578,176.19270022576148,171.1000294902171,171.58948503286618,26885360
2009-09-25,173.00523376464844,175.79629063386847,172.31757652619638,173.9355819395879,12405000
2009-09-29,169.2433624267578,175.3108826787525,168.67706300545197,173.22770319444797,20299040
2009-09-30,177.57205200195312,179.5177025990154,168.69325436030184,169.89057495593966,29648950
2009-10-01,178.85023498535156,180.81206862386392,175.577821175478,177.296951581857,29251450
2009-10-05,172.57240295410156,179.19408769588605,170.84517438898655,179.19408769588605,32553460
2009-10-06,174.63536071777344,175.34727465244822,169.83796860529534,174.6960334473763,30294870
2009-10-07,170.02809143066406,177.1311339591575,168.7579636447195,175.15716544884248,26530130
2009-10-08,171.1809539794922,172.68974869418312,169.61553548606295,171.10409772345892,19955940
2009-10-09,167.26536560058594,172.31353480204444,165.60285854938863,171.61779195127906,35045440
2009-10-12,175.77200317382812,176.76707294265674,167.20465602337566,169.78537636318032,29287260
2009-10-13,175.77200317382812,175.77200317382812,175.77200317382812,175.77200317382812,0
2009-10-14,183.84181213378906,184.9380196654854,175.9580848787408,176.7913566609593,27478890
2009-10-15,188.3924560546875,189.2985474789209,184.04811547693495,185.98163144904845,31846380
2009-10-16,197.910400390625,200.14729269374098,186.87965138592173,188.8212532158063,51979710
2009-10-20,199.8924560546875,202.16978849658443,197.9346584764826,199.01468261244096,23720870
2009-10-21,193.03616333007812,199.82369649455845,192.5426711162142,199.82369649455845,22230480
2009-10-22,188.07290649414062,192.92287370139206,187.29220951157,191.95610955536802,19938160
2009-10-23,190.48374938964844,192.51839086987766,183.84992912022133,186.27693743911436,17689410
2009-10-26,186.51553344726562,192.04910772118401,185.66607833242054,191.32909597218935,16560360
2009-10-27,178.20306396484375,189.22572570039242,176.75495457020557,185.66611877492997,55845720
2009-10-28,179.02825927734375,180.60986111016302,171.23755896659367,179.49343338243128,53992560
2009-10-29,177.6772003173828,179.86960284788358,174.95895102193847,174.95895102193847,36680960
2009-10-30,177.25653076171875,185.9897133103531,176.40303884992065,179.1940956587959,39272250
2009-11-03,170.13330078125,176.92891974184275,169.08159461381442,176.92891974184275,29840820
2009-11-04,175.65872192382812,176.76705143110615,166.44418367252263,172.31753755068928,36301530
2009-11-05,173.06590270996094,176.17651903665973,168.62447350344968,176.17651903665973,31956440
2009-11-06,178.3850860595703,180.07994761535278,174.34007277023764,174.7445740991709,35324450
2009-11-09,187.5430145263672,188.09313044493635,178.78959926163841,179.19410061743397,29647600
2009-11-10,191.6446533203125,192.69635932230238,188.0931318830495,189.14483788503938,41833010
2009-11-11,192.40106201171875,192.90668869226275,188.49762650679943,191.32913591784578,22420760
2009-11-12,185.55691528320312,192.40107145406824,184.1290259610473,191.73364667187565,22259290
2009-11-13,186.06251525878906,188.7403119305697,183.04089000787886,184.12899950904412,21043670
2009-11-16,189.7515869140625,191.94397733160235,183.84991366280656,183.84991366280656,18478550
2009-11-17,190.17630004882812,190.92462998693682,185.79555602536774,190.90844647711577,19729730
2009-11-18,188.3196258544922,190.83967341907496,187.28410350516896,189.92144755978902,14662960
2009-11-19,184.56182861328125,188.42482395622508,183.6476639461085,188.41672602871628,16901590
2009-11-20,188.8980712890625,189.7920281122734,181.297500220831,184.5335108461424,26760130
2009-11-23,187.68862915039062,189.87293400351913,186.54793236401846,189.87293400351913,21826520
2009-11-24,186.51956176757812,190.1155837341588,185.9087732863677,187.68857628223338,23249160
2009-11-25,187.8585205078125,189.63022603368367,186.094888220474,186.39421526625287,15058220
